Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
MPI,2,64,10,3.172e-06,3.246e-06,3.2026e-06,0.63151,1.676e-05,2.0952e-05,1.79356e-05,6.16395,1.9932e-05,2.4198e-05,2.11382e-05,6.19622,0,CPU,false,mpirun,mpi
MPI,2,128,10,1.2754e-05,1.6249e-05,1.33564e-05,7.26297,3.6431e-05,4.58e-05,3.99029e-05,7.60813,4.9185e-05,6.2049e-05,5.32593e-05,10.5183,0,CPU,false,mpirun,mpi
MPI,2,256,10,9.3056e-05,9.9299e-05,9.42585e-05,1.84754,0.000160123,0.000175474,0.000166868,2.65185,0.000253179,0.000274773,0.000261126,3.23198,0,CPU,false,mpirun,mpi
MPI,2,512,10,0.000726642,0.000801701,0.000756291,3.77464,0.00065684,0.000700055,0.000672342,2.33781,0.00138348,0.00150176,0.00142863,4.43996,0,CPU,false,mpirun,mpi
MPI,2,1024,10,0.00567381,0.00571446,0.00569267,0.230075,0.00261746,0.0026945,0.0026505,0.848843,0.00829127,0.00840896,0.00834318,0.879471,0,CPU,false,mpirun,mpi
MPI,2,2048,10,0.0444072,0.044799,0.0445407,0.252539,0.0119902,0.0134604,0.0125905,3.32271,0.0563974,0.0582594,0.0571311,3.33229,0,CPU,false,mpirun,mpi
MPI,2,4096,10,0.358719,0.360241,0.359396,0.128735,0.0637854,0.0656021,0.0646048,1.02145,0.422504,0.425843,0.424001,1.02953,0,CPU,false,mpirun,mpi
MPI,2,8192,10,2.94274,2.94712,2.94457,0.0496704,0.442361,0.450431,0.445634,0.535857,3.3851,3.39755,3.3902,0.538154,0,CPU,false,mpirun,mpi
MPI,4,64,10,2.163e-06,2.209e-06,2.1914e-06,0.556348,1.7869e-05,2.4161e-05,2.0172e-05,10.6096,2.0032e-05,2.637e-05,2.23634e-05,10.6242,0,CPU,false,mpirun,mpi
MPI,4,128,10,7.088e-06,7.48e-06,7.3427e-06,1.83611,4.2494e-05,4.9762e-05,4.51489e-05,5.15542,4.9582e-05,5.7242e-05,5.24916e-05,5.47262,0,CPU,false,mpirun,mpi
