Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
DeepSpeed,2,64,20,0.000010,0.000012,0.000011,4.26,0.000039,0.000054,0.000046,8.28,0.000049,0.000064,0.000056,6.33,1,CPU,true,impiexec,ccl
DeepSpeed,2,128,20,0.000019,0.000023,0.000021,5.35,0.000068,0.000097,0.000075,9.84,0.000089,0.000118,0.000096,7.52,1,CPU,true,impiexec,ccl
DeepSpeed,2,256,20,0.009548,0.024129,0.013273,34.96,0.000215,0.000274,0.000243,7.98,0.009774,0.024359,0.013516,34.33,1,CPU,true,impiexec,ccl
DeepSpeed,2,512,20,0.010024,0.034535,0.019789,32.03,0.000694,0.000823,0.000757,4.62,0.010781,0.035280,0.020547,30.81,1,CPU,true,impiexec,ccl
DeepSpeed,2,1024,20,0.010697,0.025301,0.019099,14.86,0.002858,0.002985,0.002913,1.35,0.013555,0.028180,0.022013,12.93,1,CPU,true,impiexec,ccl
DeepSpeed,2,2048,20,0.020992,0.047189,0.033207,22.11,0.011340,0.015484,0.012219,12.37,0.033076,0.058586,0.045426,16.38,1,CPU,true,impiexec,ccl
DeepSpeed,2,4096,20,0.053958,0.087600,0.069940,10.78,0.046340,0.050658,0.047133,1.91,0.100772,0.134204,0.117072,6.26,1,CPU,true,impiexec,ccl
DeepSpeed,2,8192,20,0.104360,0.106401,0.105678,0.51,0.191413,0.194376,0.192855,0.46,0.296068,0.299994,0.298532,0.36,1,CPU,true,impiexec,ccl
DeepSpeed,4,64,20,0.000010,0.000030,0.000014,36.08,0.038947,0.038999,0.038980,0.04,0.038977,0.039009,0.038993,0.03,1,CPU,true,impiexec,ccl
DeepSpeed,4,128,20,0.000155,0.000232,0.000211,8.51,0.036772,0.038846,0.038328,1.92,0.036978,0.039006,0.038540,1.91,1,CPU,true,impiexec,ccl
DeepSpeed,4,256,20,0.019137,0.038558,0.026879,23.85,0.025318,0.041072,0.032287,18.04,0.044644,0.071922,0.059165,12.06,1,CPU,true,impiexec,ccl
DeepSpeed,4,512,20,0.014912,0.045909,0.029366,25.91,0.025175,0.039447,0.032190,17.79,0.049490,0.073007,0.061556,9.70,1,CPU,true,impiexec,ccl
DeepSpeed,4,1024,20,0.015918,0.044784,0.030885,27.72,0.045860,0.148569,0.123565,25.51,0.071903,0.182653,0.154451,20.49,1,CPU,true,impiexec,ccl
DeepSpeed,4,2048,20,0.001691,0.004328,0.002283,28.57,0.845118,1.120145,0.902882,8.30,0.846817,1.122753,0.905164,8.26,1,CPU,true,impiexec,ccl
DeepSpeed,4,4096,20,0.017352,0.085804,0.042477,56.59,0.096105,0.810565,0.180786,82.97,0.114879,0.843428,0.223263,67.53,1,CPU,true,impiexec,ccl
DeepSpeed,4,8192,20,0.105727,0.108354,0.107113,0.59,0.354882,1.918997,0.811304,58.52,0.462798,2.026070,0.918416,51.70,1,CPU,true,impiexec,ccl
DeepSpeed,8,64,20,0.000009,0.000057,0.000019,68.42,0.104636,0.235974,0.150255,22.94,0.104647,0.235988,0.150274,22.94,1,CPU,true,impiexec,ccl
DeepSpeed,8,128,20,0.000124,0.000279,0.000172,21.31,0.172781,0.225692,0.193670,7.46,0.172990,0.225971,0.193842,7.46,1,CPU,true,impiexec,ccl
DeepSpeed,8,256,20,0.000084,0.018574,0.007358,82.44,0.144975,0.212488,0.183038,10.37,0.152083,0.228514,0.190396,10.72,1,CPU,true,impiexec,ccl
DeepSpeed,8,512,20,0.000210,0.009953,0.001715,199.60,0.146841,0.270841,0.235637,13.81,0.147073,0.271050,0.237352,13.82,1,CPU,true,impiexec,ccl
