Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
DeepSpeed,2,64,20,0.000011,0.000012,0.000011,3.23,0.000035,0.000044,0.000038,6.06,0.000046,0.000055,0.000050,4.71,1,CPU,true,impiexec,ccl
DeepSpeed,2,128,20,0.000019,0.000022,0.000020,3.70,0.000070,0.000081,0.000076,3.97,0.000091,0.000102,0.000096,3.23,1,CPU,true,impiexec,ccl
DeepSpeed,2,256,20,0.012990,0.019249,0.015290,11.94,0.000195,0.000282,0.000222,8.11,0.013206,0.019449,0.015512,11.73,1,CPU,true,impiexec,ccl
DeepSpeed,2,512,20,0.011288,0.029168,0.018565,26.50,0.000665,0.000857,0.000728,5.41,0.012031,0.029850,0.019293,25.46,1,CPU,true,impiexec,ccl
DeepSpeed,2,1024,20,0.010748,0.025487,0.016730,24.55,0.002845,0.003069,0.002903,1.61,0.013641,0.028387,0.019634,21.01,1,CPU,true,impiexec,ccl
DeepSpeed,2,2048,20,0.026758,0.046443,0.034828,17.26,0.011571,0.018846,0.013413,19.09,0.038455,0.058210,0.048241,11.18,1,CPU,true,impiexec,ccl
DeepSpeed,2,4096,20,0.056612,0.083599,0.069012,10.73,0.056588,0.069886,0.063145,5.00,0.115290,0.151402,0.132157,5.98,1,CPU,true,impiexec,ccl
DeepSpeed,2,8192,20,0.105852,0.111017,0.107058,1.01,0.250916,0.255611,0.252913,0.59,0.357822,0.363179,0.359971,0.46,1,CPU,true,impiexec,ccl
DeepSpeed,4,64,20,0.000010,0.000014,0.000011,6.84,0.038965,0.047974,0.039883,6.76,0.038976,0.047985,0.039894,6.76,1,CPU,true,impiexec,ccl
DeepSpeed,4,128,20,0.000180,0.000254,0.000213,7.07,0.031780,0.051282,0.038928,8.29,0.031994,0.051488,0.039141,8.24,1,CPU,true,impiexec,ccl
DeepSpeed,4,256,20,0.014343,0.039529,0.024647,30.56,0.025154,0.039146,0.033540,14.08,0.040433,0.070567,0.058187,15.42,1,CPU,true,impiexec,ccl
DeepSpeed,4,512,20,0.009940,0.039330,0.022173,42.38,0.025257,0.045021,0.036368,15.49,0.046984,0.078435,0.058541,12.96,1,CPU,true,impiexec,ccl
DeepSpeed,4,1024,20,0.000458,0.000905,0.000681,21.71,0.221127,0.259251,0.235238,3.28,0.221903,0.260011,0.235920,3.27,1,CPU,true,impiexec,ccl
DeepSpeed,4,2048,20,0.001660,0.004649,0.002757,31.33,0.854890,0.888232,0.870414,1.13,0.857912,0.891270,0.873171,1.11,1,CPU,true,impiexec,ccl
DeepSpeed,4,4096,20,0.015407,0.086212,0.047329,48.17,0.127350,0.223131,0.162455,18.34,0.157993,0.270402,0.209784,11.66,1,CPU,true,impiexec,ccl
DeepSpeed,4,8192,20,0.106202,0.110747,0.107678,1.09,0.429048,0.480944,0.448711,2.83,0.535422,0.588274,0.556389,2.30,1,CPU,true,impiexec,ccl
