Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
DeepSpeed,2,64,20,0.000013,0.000015,0.000014,2.82,0.000047,0.000057,0.000052,5.13,0.000061,0.000071,0.000066,3.99,1,CPU,true,impiexec,ccl
DeepSpeed,2,128,20,0.000019,0.000024,0.000021,5.35,0.000078,0.000102,0.000085,7.80,0.000098,0.000123,0.000105,6.23,1,CPU,true,impiexec,ccl
DeepSpeed,2,256,20,0.009655,0.024019,0.015215,25.88,0.000201,0.000485,0.000258,22.97,0.009912,0.024276,0.015473,25.31,1,CPU,true,impiexec,ccl
DeepSpeed,2,512,20,0.009908,0.034877,0.018430,30.65,0.000748,0.000832,0.000792,3.23,0.010686,0.035629,0.019221,29.34,1,CPU,true,impiexec,ccl
DeepSpeed,2,1024,20,0.014071,0.031833,0.022451,24.71,0.003042,0.003283,0.003116,1.67,0.017205,0.034974,0.025567,21.68,1,CPU,true,impiexec,ccl
DeepSpeed,2,2048,20,0.020503,0.043717,0.034056,18.61,0.012395,0.018894,0.015032,15.22,0.035646,0.060614,0.049088,14.35,1,CPU,true,impiexec,ccl
DeepSpeed,2,4096,20,0.057503,0.080469,0.067899,9.47,0.053554,0.055162,0.054039,0.72,0.111239,0.134270,0.121938,5.30,1,CPU,true,impiexec,ccl
DeepSpeed,2,8192,20,0.105352,0.107632,0.106252,0.54,0.221627,0.227489,0.224376,0.85,0.327675,0.333791,0.330628,0.55,1,CPU,true,impiexec,ccl
DeepSpeed,4,64,20,0.000010,0.000015,0.000011,8.67,0.025979,0.056619,0.034835,23.16,0.025993,0.056630,0.034846,23.15,1,CPU,true,impiexec,ccl
DeepSpeed,4,128,20,0.000167,0.000228,0.000216,6.63,0.025742,0.025825,0.025775,0.07,0.025961,0.026021,0.025991,0.04,1,CPU,true,impiexec,ccl
DeepSpeed,4,256,20,0.014441,0.040846,0.026242,30.06,0.006659,0.057698,0.029593,57.49,0.024772,0.086902,0.055835,28.41,1,CPU,true,impiexec,ccl
DeepSpeed,4,512,20,0.014889,0.040857,0.024485,29.11,0.004859,0.071024,0.033944,41.82,0.033044,0.090954,0.058429,21.96,1,CPU,true,impiexec,ccl
DeepSpeed,4,1024,20,0.010571,0.042989,0.026752,28.76,0.007037,0.156158,0.050798,73.04,0.045599,0.184567,0.077550,46.43,1,CPU,true,impiexec,ccl
DeepSpeed,4,2048,20,0.001419,0.002519,0.001941,23.38,0.811512,0.896169,0.833335,2.51,0.812981,0.897625,0.835276,2.51,1,CPU,true,impiexec,ccl
DeepSpeed,4,4096,20,0.014260,0.030970,0.015997,21.87,0.286786,0.385376,0.336691,8.02,0.316113,0.400041,0.352688,7.24,1,CPU,true,impiexec,ccl
DeepSpeed,4,8192,20,0.082169,0.093653,0.086374,2.81,1.054738,1.325542,1.160464,5.28,1.139720,1.407712,1.246838,4.89,1,CPU,true,impiexec,ccl
DeepSpeed,8,64,20,0.000009,0.000030,0.000014,38.68,0.061968,0.149138,0.098069,20.43,0.061997,0.149152,0.098083,20.43,1,CPU,true,impiexec,ccl
