Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
DeepSpeed,2,64,20,0.000010,0.000013,0.000011,8.11,0.000041,0.000048,0.000045,4.15,0.000052,0.000060,0.000055,3.97,1,CPU,true,impiexec,ccl
DeepSpeed,2,128,20,0.000025,0.000034,0.000028,8.09,0.000063,0.000082,0.000073,5.45,0.000096,0.000109,0.000101,3.44,1,CPU,true,impiexec,ccl
DeepSpeed,2,256,20,0.009624,0.024273,0.016310,23.36,0.000208,0.000420,0.000269,25.35,0.009842,0.024680,0.016578,23.01,1,CPU,true,impiexec,ccl
DeepSpeed,2,512,20,0.009923,0.033569,0.016973,34.14,0.000721,0.000963,0.000813,9.38,0.010699,0.034366,0.017786,32.51,1,CPU,true,impiexec,ccl
DeepSpeed,2,1024,20,0.011085,0.032193,0.022963,27.15,0.002857,0.002968,0.002916,0.86,0.013985,0.035125,0.025879,24.10,1,CPU,true,impiexec,ccl
DeepSpeed,2,2048,20,0.021430,0.045707,0.031059,20.29,0.011284,0.019841,0.012852,20.76,0.032796,0.057214,0.043911,14.40,1,CPU,true,impiexec,ccl
DeepSpeed,2,4096,20,0.059551,0.082828,0.068978,8.87,0.045301,0.050246,0.046909,2.59,0.106406,0.130447,0.115886,4.91,1,CPU,true,impiexec,ccl
DeepSpeed,2,8192,20,0.105509,0.107582,0.106925,0.41,0.191728,0.194136,0.193061,0.36,0.298448,0.301565,0.299985,0.29,1,CPU,true,impiexec,ccl
DeepSpeed,4,64,20,0.000009,0.000012,0.000010,8.32,0.025976,0.025992,0.025985,0.01,0.025986,0.026002,0.025996,0.01,1,CPU,true,impiexec,ccl
DeepSpeed,4,128,20,0.000163,0.000230,0.000212,6.99,0.038753,0.039577,0.038817,0.45,0.038968,0.039787,0.039029,0.45,1,CPU,true,impiexec,ccl
DeepSpeed,4,256,20,0.014399,0.043018,0.027270,26.86,0.025279,0.046876,0.033437,20.67,0.045203,0.075617,0.060708,14.61,1,CPU,true,impiexec,ccl
DeepSpeed,4,512,20,0.019912,0.043884,0.030016,19.82,0.025743,0.043432,0.033505,17.11,0.049835,0.073118,0.063521,9.78,1,CPU,true,impiexec,ccl
DeepSpeed,4,1024,20,0.020110,0.049470,0.031780,27.95,0.077262,0.091195,0.084822,6.18,0.104651,0.127464,0.116602,6.06,1,CPU,true,impiexec,ccl
DeepSpeed,4,2048,20,0.001642,0.002677,0.002121,22.21,0.382787,0.519798,0.404613,6.73,0.385402,0.521441,0.406735,6.66,1,CPU,true,impiexec,ccl
DeepSpeed,4,4096,20,0.017195,0.033565,0.019058,17.63,1.633464,2.357119,1.747335,11.24,1.651536,2.374568,1.766394,11.09,1,CPU,true,impiexec,ccl
DeepSpeed,4,8192,20,0.104629,0.106327,0.105362,0.42,6.620628,7.258497,6.759382,2.64,6.725674,7.363526,6.864744,2.60,1,CPU,true,impiexec,ccl
DeepSpeed,8,64,20,0.000009,0.000029,0.000011,39.56,0.034264,0.076943,0.054685,18.69,0.034274,0.076953,0.054697,18.69,1,CPU,true,impiexec,ccl
DeepSpeed,8,128,20,0.000132,0.000216,0.000172,14.60,0.049147,0.056123,0.055421,2.64,0.049304,0.056315,0.055593,2.63,1,CPU,true,impiexec,ccl
DeepSpeed,8,256,20,0.019126,0.038808,0.028417,21.13,0.032582,0.061020,0.043450,19.66,0.054602,0.096971,0.071867,12.13,1,CPU,true,impiexec,ccl
DeepSpeed,8,512,20,0.012670,0.048250,0.028238,32.33,0.067972,0.157714,0.097866,19.72,0.102048,0.186913,0.126104,14.60,1,CPU,true,impiexec,ccl
DeepSpeed,8,1024,20,0.000353,0.000912,0.000590,34.25,0.290697,0.337413,0.321700,4.18,0.291490,0.338115,0.322291,4.15,1,CPU,true,impiexec,ccl
DeepSpeed,8,2048,20,0.001315,0.002761,0.002019,20.33,1.220618,1.371897,1.313179,2.39,1.222295,1.373904,1.315198,2.39,1,CPU,true,impiexec,ccl
DeepSpeed,8,4096,20,0.017375,0.021622,0.020157,5.32,5.260892,5.346833,5.302925,0.42,5.282003,5.364208,5.323081,0.41,1,CPU,true,impiexec,ccl
DeepSpeed,8,8192,20,0.102164,0.145544,0.117526,7.96,21.173140,21.414614,21.296247,0.30,21.303146,21.516778,21.413774,0.27,1,CPU,true,impiexec,ccl
DeepSpeed,16,64,20,0.000008,0.000053,0.000018,80.64,0.056037,0.092002,0.068451,13.55,0.056045,0.092013,0.068469,13.55,1,CPU,true,impiexec,ccl
DeepSpeed,16,128,20,0.000011,0.000057,0.000024,48.32,0.056362,0.098889,0.069966,18.05,0.056396,0.098946,0.069991,18.05,1,CPU,true,impiexec,ccl
DeepSpeed,16,256,20,0.009533,0.038102,0.020547,42.04,0.057037,0.141508,0.095913,26.22,0.076176,0.170013,0.116460,23.78,1,CPU,true,impiexec,ccl
DeepSpeed,16,512,20,0.000073,0.029174,0.011583,84.61,0.114150,0.271556,0.157819,25.23,0.114460,0.286260,0.169402,25.18,1,CPU,true,impiexec,ccl
DeepSpeed,16,1024,20,0.000399,0.001019,0.000632,30.84,0.236727,0.352398,0.295735,10.17,0.237144,0.353006,0.296366,10.16,1,CPU,true,impiexec,ccl
DeepSpeed,16,2048,20,0.001312,0.003792,0.002227,30.54,1.072203,1.250673,1.166980,2.89,1.073822,1.252412,1.169207,2.89,1,CPU,true,impiexec,ccl
DeepSpeed,16,4096,20,0.022091,0.029355,0.026573,7.86,4.436107,4.749794,4.602632,1.69,4.464800,4.771885,4.629205,1.69,1,CPU,true,impiexec,ccl
DeepSpeed,16,8192,20,0.126466,0.149974,0.141648,3.79,18.219111,18.896086,18.538869,1.13,18.363664,19.038129,18.680516,1.13,1,CPU,true,impiexec,ccl
DeepSpeed,32,64,20,0.000011,0.000058,0.000041,36.48,0.088337,0.243128,0.158364,23.82,0.088382,0.243171,0.158405,23.82,1,CPU,true,impiexec,ccl
DeepSpeed,32,128,20,0.000014,0.000056,0.000028,41.80,0.100796,0.203422,0.155349,21.34,0.100817,0.203445,0.155377,21.34,1,CPU,true,impiexec,ccl
DeepSpeed,32,256,20,0.000038,0.019125,0.010207,66.28,0.124259,0.261940,0.184287,20.64,0.124415,0.267626,0.194494,20.38,1,CPU,true,impiexec,ccl
DeepSpeed,32,512,20,0.000063,0.009862,0.002401,166.95,0.104050,0.275560,0.184048,24.46,0.104242,0.275624,0.186449,24.10,1,CPU,true,impiexec,ccl
DeepSpeed,32,1024,20,0.000293,0.001086,0.000662,43.69,0.498758,0.641759,0.558257,6.61,0.499829,0.642690,0.558919,6.59,1,CPU,true,impiexec,ccl
DeepSpeed,32,2048,20,0.001483,0.004596,0.002720,35.34,2.004660,2.479438,2.124502,5.04,2.006924,2.481385,2.127221,5.03,1,CPU,true,impiexec,ccl
DeepSpeed,32,4096,20,0.026965,0.045757,0.040602,13.31,8.077424,8.413242,8.206818,0.94,8.122748,8.451791,8.247419,0.91,1,CPU,true,impiexec,ccl
DeepSpeed,32,8192,20,0.152498,0.197982,0.183244,5.45,34.226531,34.562124,34.459918,0.30,34.414062,34.747078,34.643162,0.29,1,CPU,true,impiexec,ccl
DeepSpeed,64,64,20,0.000012,0.000068,0.000029,62.85,0.252010,0.514605,0.359877,17.60,0.252065,0.514634,0.359906,17.60,1,CPU,true,impiexec,ccl
DeepSpeed,64,128,20,0.000024,0.000074,0.000058,24.04,0.245608,0.502852,0.342081,22.24,0.245677,0.502918,0.342139,22.23,1,CPU,true,impiexec,ccl
DeepSpeed,64,256,20,0.000030,0.000099,0.000058,39.79,0.255922,0.518711,0.341597,20.93,0.256021,0.518769,0.341655,20.93,1,CPU,true,impiexec,ccl
DeepSpeed,64,512,20,0.000130,0.000172,0.000148,8.62,0.248240,0.514056,0.360307,17.75,0.248385,0.514187,0.360455,17.74,1,CPU,true,impiexec,ccl
DeepSpeed,64,1024,20,0.000749,0.003045,0.001683,37.87,0.929370,1.229223,1.066675,7.56,0.931005,1.231318,1.068358,7.56,1,CPU,true,impiexec,ccl
DeepSpeed,64,2048,20,0.001884,0.010050,0.005332,58.05,3.374880,4.585380,4.171725,6.03,3.378107,4.592973,4.177056,6.01,1,CPU,true,impiexec,ccl
DeepSpeed,64,4096,20,0.070189,0.084162,0.080010,3.89,16.027210,16.386045,16.232352,0.57,16.111202,16.464558,16.312362,0.56,1,CPU,true,impiexec,ccl
DeepSpeed,64,8192,20,0.262075,0.375129,0.328807,8.53,66.048854,67.086852,66.644981,0.43,66.379142,67.421622,66.973788,0.44,1,CPU,true,impiexec,ccl
