Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
DeepSpeed,2,64,20,0.000011,0.000013,0.000012,4.09,0.000043,0.000053,0.000047,5.68,0.000054,0.000065,0.000059,4.95,1,CPU,true,impiexec,ccl
DeepSpeed,2,128,20,0.000020,0.000090,0.000025,60.41,0.000065,0.000087,0.000075,7.97,0.000084,0.000166,0.000100,16.64,1,CPU,true,impiexec,ccl
DeepSpeed,2,256,20,0.014412,0.029991,0.020202,24.01,0.000204,0.000292,0.000250,12.92,0.014616,0.030279,0.020452,23.77,1,CPU,true,impiexec,ccl
DeepSpeed,2,512,20,0.009932,0.022508,0.014419,22.61,0.000700,0.000951,0.000768,6.12,0.010717,0.023208,0.015186,21.35,1,CPU,true,impiexec,ccl
DeepSpeed,2,1024,20,0.010714,0.031885,0.018431,25.91,0.002947,0.003108,0.003038,1.26,0.013800,0.034917,0.021469,22.25,1,CPU,true,impiexec,ccl
DeepSpeed,2,2048,20,0.020416,0.045936,0.031411,22.79,0.011683,0.018819,0.012589,14.62,0.034129,0.057827,0.044001,14.85,1,CPU,true,impiexec,ccl
DeepSpeed,2,4096,20,0.051811,0.085457,0.069249,12.07,0.049048,0.051078,0.049653,0.99,0.101178,0.135470,0.118902,7.20,1,CPU,true,impiexec,ccl
DeepSpeed,2,8192,20,0.106451,0.179552,0.113097,15.11,0.206722,0.211704,0.208608,0.59,0.314209,0.386273,0.321705,5.23,1,CPU,true,impiexec,ccl
DeepSpeed,4,64,20,0.000009,0.000014,0.000010,9.52,0.034942,0.039026,0.038735,2.31,0.034952,0.039037,0.038745,2.31,1,CPU,true,impiexec,ccl
DeepSpeed,4,128,20,0.000202,0.000265,0.000223,5.88,0.030771,0.051789,0.038817,9.10,0.030998,0.052010,0.039040,9.05,1,CPU,true,impiexec,ccl
DeepSpeed,4,256,20,0.009591,0.038115,0.022135,42.42,0.025641,0.050646,0.036059,20.98,0.044735,0.067001,0.058194,11.66,1,CPU,true,impiexec,ccl
DeepSpeed,4,512,20,0.016958,0.048439,0.031463,25.97,0.025331,0.095572,0.034299,44.32,0.042669,0.129845,0.065763,25.83,1,CPU,true,impiexec,ccl
DeepSpeed,4,1024,20,0.000427,0.001083,0.000697,35.93,0.229829,0.237977,0.233487,0.75,0.230856,0.238845,0.234183,0.75,1,CPU,true,impiexec,ccl
