Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
DeepSpeed,2,64,20,0.000015,0.000016,0.000015,3.25,0.000030,0.000045,0.000034,9.92,0.000045,0.000060,0.000050,6.83,1,CPU,true,impiexec,ccl
DeepSpeed,2,128,20,0.000019,0.000033,0.000021,13.01,0.000079,0.000092,0.000084,4.05,0.000100,0.000115,0.000105,3.92,1,CPU,true,impiexec,ccl
DeepSpeed,2,256,20,0.007062,0.023828,0.014339,29.33,0.000192,0.000282,0.000241,10.27,0.007292,0.024063,0.014580,28.87,1,CPU,true,impiexec,ccl
DeepSpeed,2,512,20,0.010261,0.032254,0.020491,25.21,0.000693,0.000920,0.000777,5.56,0.011034,0.033174,0.021267,24.39,1,CPU,true,impiexec,ccl
DeepSpeed,2,1024,20,0.015988,0.035098,0.023161,21.78,0.002996,0.003200,0.003101,1.75,0.019124,0.038288,0.026262,19.27,1,CPU,true,impiexec,ccl
DeepSpeed,2,2048,20,0.020411,0.043829,0.030254,23.61,0.012341,0.020442,0.014689,20.31,0.033714,0.056193,0.044943,13.90,1,CPU,true,impiexec,ccl
DeepSpeed,2,4096,20,0.059706,0.087540,0.069802,11.54,0.052949,0.064815,0.056458,5.33,0.114396,0.142946,0.126260,6.27,1,CPU,true,impiexec,ccl
DeepSpeed,2,8192,20,0.105713,0.139262,0.108794,6.46,0.221615,0.251606,0.225430,2.93,0.327915,0.367208,0.334224,3.01,1,CPU,true,impiexec,ccl
DeepSpeed,4,64,20,0.000010,0.000011,0.000010,2.82,0.012957,0.013012,0.012985,0.18,0.012967,0.013022,0.012995,0.18,1,CPU,true,impiexec,ccl
DeepSpeed,4,128,20,0.000166,0.000273,0.000206,12.92,0.012646,0.025771,0.015039,31.00,0.012918,0.025992,0.015245,30.60,1,CPU,true,impiexec,ccl
DeepSpeed,4,256,20,0.009687,0.038326,0.018596,38.15,0.000317,0.021728,0.012227,49.12,0.014715,0.040745,0.030823,17.48,1,CPU,true,impiexec,ccl
DeepSpeed,4,512,20,0.014904,0.043788,0.031235,25.67,0.052099,0.087481,0.066280,18.49,0.082268,0.129458,0.097515,13.26,1,CPU,true,impiexec,ccl
DeepSpeed,4,1024,20,0.000434,0.001009,0.000640,25.90,0.212630,0.266572,0.231557,6.26,0.213151,0.267357,0.232198,6.24,1,CPU,true,impiexec,ccl
DeepSpeed,4,2048,20,0.025024,0.047424,0.035446,19.46,0.030126,0.065481,0.043422,20.16,0.064078,0.094863,0.078867,10.44,1,CPU,true,impiexec,ccl
DeepSpeed,4,4096,20,0.016834,0.070309,0.038082,44.70,0.147062,0.214801,0.173176,9.66,0.186647,0.235604,0.211257,7.61,1,CPU,true,impiexec,ccl
DeepSpeed,4,8192,20,0.098325,0.104415,0.101186,1.33,0.633856,0.672126,0.642982,1.33,0.735122,0.776541,0.744168,1.27,1,CPU,true,impiexec,ccl
DeepSpeed,8,64,20,0.000009,0.000051,0.000016,60.20,0.006976,0.109961,0.055029,40.66,0.006995,0.109973,0.055046,40.65,1,CPU,true,impiexec,ccl
DeepSpeed,8,128,20,0.000128,0.000246,0.000157,20.53,0.010781,0.116893,0.065634,38.56,0.010911,0.117076,0.065792,38.47,1,CPU,true,impiexec,ccl
DeepSpeed,8,256,20,0.009556,0.038047,0.024059,35.77,0.014066,0.157816,0.070912,54.48,0.023622,0.194634,0.094970,45.55,1,CPU,true,impiexec,ccl
DeepSpeed,8,512,20,0.000255,0.004381,0.000518,171.35,4.069494,4.528501,4.261321,2.78,4.069825,4.528838,4.261838,2.79,1,CPU,true,impiexec,ccl
