Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
DeepSpeed,2,64,20,0.000010,0.000012,0.000011,4.98,0.000042,0.000050,0.000045,5.06,0.000052,0.000061,0.000056,4.31,1,CPU,true,impiexec,ccl
DeepSpeed,2,128,20,0.000020,0.000345,0.000038,182.95,0.000067,0.000122,0.000077,15.21,0.000088,0.000416,0.000115,60.92,1,CPU,true,impiexec,ccl
DeepSpeed,2,256,20,0.009567,0.024077,0.015813,27.51,0.000208,0.004805,0.000475,208.96,0.009842,0.024378,0.016288,25.39,1,CPU,true,impiexec,ccl
DeepSpeed,2,512,20,0.010030,0.032575,0.018406,35.24,0.000708,0.000811,0.000758,3.19,0.010806,0.033326,0.019164,33.78,1,CPU,true,impiexec,ccl
DeepSpeed,2,1024,20,0.010957,0.027274,0.016489,25.30,0.002918,0.003682,0.003075,4.82,0.014032,0.030468,0.019564,21.62,1,CPU,true,impiexec,ccl
DeepSpeed,2,2048,20,0.021208,0.046138,0.031645,23.71,0.013321,0.020656,0.014958,12.38,0.034609,0.060112,0.046603,14.96,1,CPU,true,impiexec,ccl
DeepSpeed,2,4096,20,0.055654,0.076887,0.066367,8.73,0.058521,0.065194,0.062073,3.75,0.119601,0.140691,0.128440,4.33,1,CPU,true,impiexec,ccl
DeepSpeed,2,8192,20,0.105522,0.107093,0.106188,0.39,0.246350,0.250455,0.247950,0.45,0.352593,0.356803,0.354137,0.32,1,CPU,true,impiexec,ccl
DeepSpeed,4,64,20,0.000010,0.000015,0.000012,11.24,0.038830,0.064139,0.044492,18.51,0.038841,0.064151,0.044504,18.50,1,CPU,true,impiexec,ccl
DeepSpeed,4,128,20,0.000204,0.004816,0.000465,214.70,0.125754,0.130678,0.129475,0.77,0.125989,0.133977,0.129940,1.04,1,CPU,true,impiexec,ccl
DeepSpeed,4,256,20,0.009616,0.038526,0.025756,33.95,0.125405,0.138102,0.130268,1.85,0.139711,0.172241,0.156024,5.53,1,CPU,true,impiexec,ccl
DeepSpeed,4,512,20,0.010011,0.043679,0.026537,32.93,0.129218,0.140575,0.131413,2.58,0.144455,0.173927,0.157949,5.91,1,CPU,true,impiexec,ccl
DeepSpeed,4,1024,20,0.015650,0.039908,0.032139,22.70,0.129199,0.170757,0.132004,6.79,0.145150,0.210639,0.164143,7.93,1,CPU,true,impiexec,ccl
DeepSpeed,4,2048,20,0.002978,0.035347,0.023658,36.60,0.152267,0.195149,0.163040,6.10,0.173184,0.207865,0.186699,4.88,1,CPU,true,impiexec,ccl
DeepSpeed,4,4096,20,0.017468,0.080846,0.053386,30.32,0.140290,0.197775,0.160118,10.63,0.186469,0.252446,0.213504,8.30,1,CPU,true,impiexec,ccl
DeepSpeed,4,8192,20,0.105746,0.110389,0.107141,0.92,0.516682,0.580037,0.538963,3.09,0.624745,0.686370,0.646104,2.54,1,CPU,true,impiexec,ccl
DeepSpeed,8,64,20,0.000011,0.000031,0.000017,31.09,0.115808,0.366134,0.283585,24.84,0.115829,0.366150,0.283602,24.84,1,CPU,true,impiexec,ccl
DeepSpeed,8,128,20,0.000124,0.000204,0.000152,17.13,0.360868,0.410701,0.381838,3.49,0.360991,0.410830,0.381990,3.49,1,CPU,true,impiexec,ccl
DeepSpeed,8,256,20,0.000186,0.000284,0.000237,9.81,0.358069,0.392798,0.373057,2.34,0.358301,0.393012,0.373294,2.34,1,CPU,true,impiexec,ccl
DeepSpeed,8,512,20,0.000224,0.000331,0.000276,9.38,0.344053,0.676636,0.517663,21.31,0.344330,0.676932,0.517939,21.30,1,CPU,true,impiexec,ccl
DeepSpeed,8,1024,20,0.000469,0.001155,0.000678,29.12,6.655720,6.726845,6.691033,0.28,6.656214,6.727328,6.691712,0.28,1,CPU,true,impiexec,ccl
DeepSpeed,8,2048,20,0.001332,0.006492,0.001992,54.40,26.683220,26.763699,26.722169,0.08,26.684647,26.765714,26.724161,0.08,1,CPU,true,impiexec,ccl
DeepSpeed,8,4096,20,0.011666,0.023224,0.015647,20.57,0.472632,1.221098,0.610184,29.18,0.488265,1.236343,0.625831,28.43,1,CPU,true,impiexec,ccl
DeepSpeed,8,8192,20,0.070469,0.113973,0.077395,12.73,1.628042,2.326030,1.862233,7.92,1.713905,2.396842,1.939628,7.50,1,CPU,true,impiexec,ccl
DeepSpeed,16,64,20,0.000014,0.000061,0.000048,31.98,0.731924,0.959939,0.910937,5.55,0.731982,0.959987,0.910985,5.55,1,CPU,true,impiexec,ccl
DeepSpeed,16,128,20,0.000013,0.000075,0.000035,66.05,0.768109,0.991931,0.929757,6.18,0.768125,0.991981,0.929792,6.18,1,CPU,true,impiexec,ccl
DeepSpeed,16,256,20,0.000110,0.000259,0.000206,19.40,0.928495,0.994097,0.961126,1.69,0.928666,0.994349,0.961331,1.69,1,CPU,true,impiexec,ccl
DeepSpeed,16,512,20,0.000113,0.000370,0.000266,21.76,1.210957,1.917645,1.700340,12.06,1.211198,1.917940,1.700607,12.06,1,CPU,true,impiexec,ccl
DeepSpeed,16,1024,20,0.000649,0.000991,0.000799,11.38,1.256453,2.877995,2.318544,19.70,1.257444,2.878694,2.319344,19.69,1,CPU,true,impiexec,ccl
DeepSpeed,16,2048,20,0.002106,0.003011,0.002505,12.23,32.657458,32.945271,32.764581,0.27,32.660469,32.947567,32.767087,0.27,1,CPU,true,impiexec,ccl
DeepSpeed,16,4096,20,0.012869,0.020192,0.015344,12.54,3.410785,5.772371,4.655483,17.63,3.427799,5.785619,4.670826,17.57,1,CPU,true,impiexec,ccl
DeepSpeed,16,8192,20,0.074599,0.123985,0.085316,13.51,5.779986,9.599262,7.433841,15.31,5.863243,9.678304,7.519157,15.10,1,CPU,true,impiexec,ccl
DeepSpeed,32,64,20,0.000059,0.000098,0.000089,9.40,3.330915,3.967891,3.778638,4.24,3.331013,3.967981,3.778726,4.24,1,CPU,true,impiexec,ccl
DeepSpeed,32,128,20,0.000033,0.000102,0.000084,23.15,1.906467,4.034872,3.526014,18.52,1.906512,4.034968,3.526098,18.51,1,CPU,true,impiexec,ccl
DeepSpeed,32,256,20,0.000111,0.000250,0.000201,24.64,3.929909,4.020801,3.966687,0.46,3.930063,4.021049,3.966888,0.46,1,CPU,true,impiexec,ccl
DeepSpeed,32,512,20,0.000104,0.000423,0.000220,41.52,3.902872,4.016599,3.964836,0.70,3.902997,4.016870,3.965056,0.70,1,CPU,true,impiexec,ccl
DeepSpeed,32,1024,20,0.000314,0.001116,0.000665,40.35,5.160842,7.215805,6.470945,9.23,5.161291,7.216832,6.471610,9.23,1,CPU,true,impiexec,ccl
DeepSpeed,32,2048,20,0.001527,0.003842,0.002550,35.46,67.570072,68.446371,67.925738,0.33,67.573105,68.450212,67.928288,0.33,1,CPU,true,impiexec,ccl
DeepSpeed,32,4096,20,0.017197,0.022727,0.019178,6.54,270.413791,275.286945,271.954484,0.40,270.434035,275.309671,271.973662,0.40,1,CPU,true,impiexec,ccl
DeepSpeed,32,8192,20,0.097683,0.109623,0.103151,3.19,15.314226,26.867472,20.546582,15.13,15.417189,26.970344,20.649732,15.05,1,CPU,true,impiexec,ccl
DeepSpeed,64,64,20,0.000087,0.000108,0.000090,4.88,13.819000,16.130872,15.824436,3.36,13.819087,16.130960,15.824526,3.36,1,CPU,true,impiexec,ccl
DeepSpeed,64,128,20,0.000095,0.000107,0.000104,2.54,14.658847,16.383872,15.783363,2.41,14.658950,16.383968,15.783466,2.41,1,CPU,true,impiexec,ccl
DeepSpeed,64,256,20,0.000122,0.000129,0.000126,1.64,13.154808,16.132820,15.645722,4.17,13.154930,16.132948,15.645847,4.17,1,CPU,true,impiexec,ccl
DeepSpeed,64,512,20,0.000185,0.000196,0.000192,1.34,15.986529,16.674680,16.172883,0.83,15.986720,16.674872,16.173075,0.83,1,CPU,true,impiexec,ccl
DeepSpeed,64,1024,20,0.000828,0.001879,0.001342,32.05,24.268730,29.693740,27.720620,4.49,24.269606,29.695477,27.721961,4.49,1,CPU,true,impiexec,ccl
DeepSpeed,64,2048,20,0.003130,0.008021,0.005606,39.71,26.245808,44.016926,38.827729,11.12,26.249237,44.024842,38.833335,11.12,1,CPU,true,impiexec,ccl
DeepSpeed,64,4096,20,0.036531,0.041681,0.039451,3.56,550.896693,557.932664,554.670043,0.31,550.936153,557.972170,554.709494,0.31,1,CPU,true,impiexec,ccl
DeepSpeed,64,8192,20,0.201764,0.223380,0.210345,2.68,67.308623,100.633163,82.720550,11.33,67.513373,100.839647,82.930895,11.30,1,CPU,true,impiexec,ccl
