Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,4.435e-06,4.555e-06,4.4943e-06,0.787492,3.665e-05,5.7532e-05,4.2372e-05,13.7556,4.1085e-05,6.2087e-05,4.68663e-05,13.7782,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,1.7202e-05,1.7602e-05,1.74166e-05,0.599029,5.1903e-05,5.9875e-05,5.57067e-05,5.28099,6.9105e-05,7.7477e-05,7.31233e-05,5.31485,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.000105782,0.000113289,0.000108,1.8524,0.000175832,0.00020297,0.000189874,4.15268,0.000281614,0.000316259,0.000297874,4.5471,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.000736731,0.000818037,0.000770076,3.94182,0.000748665,0.000789366,0.000764166,1.45236,0.0014854,0.0016074,0.00153424,4.20087,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.00573539,0.00579038,0.0057777,0.282733,0.00307638,0.00326789,0.003151,1.80784,0.00881177,0.00905828,0.00892871,1.82981,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.0445307,0.0448079,0.0445995,0.167132,0.0122721,0.0125975,0.0124946,0.754796,0.0568028,0.0574054,0.057094,0.773078,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,0.35596,0.356792,0.356255,0.0590659,0.0537352,0.0560656,0.0554217,1.09903,0.409695,0.412858,0.411677,1.10062,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,2.93243,2.97661,2.94346,0.394781,0.296386,0.340709,0.329321,3.53334,3.22882,3.31732,3.27278,3.55533,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,2.959e-06,3.68e-06,3.5699e-06,5.73594,3.8136e-05,6.0329e-05,4.41191e-05,13.2459,4.1095e-05,6.4009e-05,4.7689e-05,14.4345,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,1.0209e-05,1.5011e-05,1.39068e-05,11.1596,5.9015e-05,7.9575e-05,6.70941e-05,8.14905,6.9224e-05,9.4586e-05,8.10009e-05,13.8183,0,CPU,true,mpirun,ccl
