Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,4.97e-06,5.083e-06,4.9957e-06,0.615675,2.9056e-05,5.4944e-05,3.63138e-05,22.6796,3.4026e-05,6.0027e-05,4.13095e-05,22.688,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,1.9579e-05,2.0085e-05,1.9804e-05,0.843923,4.6711e-05,5.5859e-05,5.11116e-05,6.89607,6.629e-05,7.5944e-05,7.09156e-05,6.94752,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.000101003,0.000105112,0.000103219,1.37259,0.000177765,0.000195246,0.000188315,3.06626,0.000278768,0.000300358,0.000291534,3.35946,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.000757296,0.00081616,0.000789075,2.58791,0.000722009,0.000779337,0.000746519,2.4258,0.0014793,0.0015955,0.00153559,3.54708,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.00581964,0.00608463,0.00587909,1.19654,0.00297814,0.0031273,0.00302411,1.2697,0.00879778,0.00921192,0.0089032,1.74467,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.0447653,0.0488767,0.0455907,2.5609,0.0126337,0.0132611,0.0129298,1.23002,0.0573989,0.0621378,0.0585205,2.84098,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,0.362226,0.370004,0.364168,0.620208,0.0654915,0.0667142,0.0658662,0.482582,0.427718,0.436718,0.430034,0.78584,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,2.94101,2.96657,2.94822,0.244877,0.367552,0.407366,0.387332,2.66208,3.30857,3.37393,3.33555,2.67332,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,3.622e-06,3.701e-06,3.6699e-06,0.667949,2.822e-05,3.3195e-05,3.09191e-05,5.05476,3.1842e-05,3.6896e-05,3.4589e-05,5.0987,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,1.0413e-05,1.5085e-05,1.4176e-05,10.1664,4.6384e-05,5.8018e-05,5.04554e-05,6.04988,5.6797e-05,7.3103e-05,6.46314e-05,11.8303,0,CPU,true,mpirun,ccl
oneCCL,4,256,10,5.9794e-05,6.7332e-05,6.19387e-05,3.3467,0.000131217,0.000139734,0.000136325,1.73331,0.000191011,0.000207066,0.000198263,3.76893,0,CPU,true,mpirun,ccl
oneCCL,4,512,10,0.000382361,0.000617536,0.000454335,18.7377,0.000491156,0.000599331,0.000541635,6.81745,0.000873517,0.00121687,0.000995971,19.9393,0,CPU,true,mpirun,ccl
oneCCL,4,1024,10,0.00294359,0.0042524,0.0031432,12.2649,0.00218259,0.00322043,0.00232004,13.0095,0.00512619,0.00747283,0.00546324,17.8795,0,CPU,true,mpirun,ccl
oneCCL,4,2048,10,0.0235465,0.0240639,0.0237103,0.544309,0.0093387,0.00985755,0.00947026,1.50076,0.0328852,0.0339214,0.0331806,1.59642,0,CPU,true,mpirun,ccl
oneCCL,4,4096,10,0.186556,0.190175,0.187443,0.563369,0.0450942,0.0474338,0.04573,1.35333,0.231651,0.237608,0.233173,1.46591,0,CPU,true,mpirun,ccl
oneCCL,4,8192,10,1.47419,1.5112,1.48489,0.923306,0.211806,0.248523,0.238703,5.76679,1.686,1.75973,1.72359,5.84024,0,CPU,true,mpirun,ccl
oneCCL,8,64,10,2.447e-06,3.187e-06,3.0834e-06,6.95478,3.1968e-05,5.4866e-05,3.83427e-05,15.8287,3.4415e-05,5.8053e-05,4.14261e-05,17.2892,0,CPU,true,mpirun,ccl
oneCCL,8,128,10,1.0626e-05,1.6969e-05,1.24183e-05,14.0731,5.1318e-05,5.7601e-05,5.4574e-05,3.48262,6.1944e-05,7.457e-05,6.69923e-05,14.4976,0,CPU,true,mpirun,ccl
oneCCL,8,256,10,3.8436e-05,4.9518e-05,4.24811e-05,9.05261,0.000103441,0.000141307,0.000110483,9.78254,0.000141877,0.000190825,0.000152964,13.3285,0,CPU,true,mpirun,ccl
oneCCL,8,512,10,0.000213211,0.00024163,0.000221664,4.26635,0.000468906,0.000597093,0.000518177,7.15616,0.000682117,0.000838723,0.000739841,8.33141,0,CPU,true,mpirun,ccl
oneCCL,8,1024,10,0.00155941,0.00166663,0.00160595,1.90029,0.00198364,0.00218185,0.00206372,2.7697,0.00354305,0.00384848,0.00366967,3.35892,0,CPU,true,mpirun,ccl
oneCCL,8,2048,10,0.0125571,0.0126389,0.0125876,0.188382,0.00772719,0.00818665,0.00797493,1.39536,0.0202843,0.0208255,0.0205626,1.40802,0,CPU,true,mpirun,ccl
oneCCL,8,4096,10,0.100213,0.101464,0.100703,0.343856,0.039557,0.0437106,0.0408724,2.56705,0.13977,0.145174,0.141575,2.58998,0,CPU,true,mpirun,ccl
oneCCL,8,8192,10,0.754901,0.793551,0.760255,1.46869,0.171415,0.200373,0.189599,3.93844,0.926316,0.993924,0.949854,4.20337,0,CPU,true,mpirun,ccl
oneCCL,16,64,10,1.903e-06,2.942e-06,2.5658e-06,10.5204,3.5597e-05,6.2429e-05,4.80612e-05,16.9164,3.75e-05,6.5371e-05,5.0627e-05,19.9209,0,CPU,true,mpirun,ccl
oneCCL,16,128,10,7.708e-06,1.1269e-05,1.05699e-05,10.0387,5.9578e-05,7.457e-05,6.46944e-05,8.06695,6.7286e-05,8.5839e-05,7.52643e-05,12.8783,0,CPU,true,mpirun,ccl
oneCCL,16,256,10,2.7044e-05,3.18e-05,2.89667e-05,5.63795,0.000107728,0.000121081,0.000113657,3.33751,0.000134772,0.000152881,0.000142624,6.55175,0,CPU,true,mpirun,ccl
oneCCL,16,512,10,0.000124015,0.000147703,0.00013403,5.07686,0.000474204,0.000732732,0.000535454,13.466,0.000598219,0.000880435,0.000669484,14.3913,0,CPU,true,mpirun,ccl
oneCCL,16,1024,10,0.000887888,0.00107715,0.00100788,5.31537,0.00201113,0.00245563,0.00211273,5.76603,0.00289902,0.00353278,0.00312061,7.84221,0,CPU,true,mpirun,ccl
oneCCL,16,2048,10,0.00829256,0.00918537,0.00855208,3.11781,0.0091772,0.0136381,0.00982286,13.0685,0.0174698,0.0228235,0.0183749,13.4353,0,CPU,true,mpirun,ccl
oneCCL,16,4096,10,0.0527757,0.0600305,0.054113,3.79936,0.0411158,0.0426695,0.0421914,0.976674,0.0938915,0.1027,0.0963043,3.92288,0,CPU,true,mpirun,ccl
oneCCL,16,8192,10,0.426937,0.44105,0.431115,1.02678,0.163178,0.169513,0.16655,1.19154,0.590115,0.610563,0.597665,1.57292,0,CPU,true,mpirun,ccl
oneCCL,32,64,10,1.589e-06,2.917e-06,2.2886e-06,15.5959,3.7887e-05,6.0206e-05,4.9291e-05,13.8666,3.9476e-05,6.3123e-05,5.15796e-05,20.869,0,CPU,true,mpirun,ccl
oneCCL,32,128,10,5.799e-06,8.553e-06,8.2154e-06,9.81611,6.7252e-05,7.9677e-05,7.22753e-05,5.4664,7.3051e-05,8.823e-05,8.04907e-05,11.2355,0,CPU,true,mpirun,ccl
oneCCL,32,256,10,3.0156e-05,3.7506e-05,3.24642e-05,6.41288,0.00012284,0.00014221,0.00013277,4.40378,0.000152996,0.000179716,0.000165235,7.77935,0,CPU,true,mpirun,ccl
oneCCL,32,512,10,0.000104199,0.00013686,0.000116006,7.29186,0.000510569,0.000877711,0.000589249,17.5892,0.000614768,0.00101457,0.000705255,19.0408,0,CPU,true,mpirun,ccl
oneCCL,32,1024,10,0.000738692,0.000844714,0.000784569,4.69992,0.0022143,0.00245991,0.00237738,2.88098,0.002953,0.00330462,0.00316195,5.51265,0,CPU,true,mpirun,ccl
oneCCL,32,2048,10,0.00677156,0.00732947,0.00710242,2.20726,0.0121854,0.0127577,0.01247,1.34511,0.0189569,0.0200871,0.0195724,2.58482,0,CPU,true,mpirun,ccl
oneCCL,32,4096,10,0.0370914,0.0432981,0.0390153,4.24439,0.0548353,0.215698,0.13503,58.5445,0.0919267,0.258996,0.174046,58.6981,0,CPU,true,mpirun,ccl
oneCCL,32,8192,10,0.23457,0.257145,0.243419,3.41188,0.220418,0.377143,0.266798,25.2441,0.454988,0.634288,0.510217,25.4736,0,CPU,true,mpirun,ccl
oneCCL,64,64,10,2.336e-06,2.361e-06,2.3408e-06,0.295853,4.2562e-05,5.9239e-05,4.93575e-05,8.44713,4.4898e-05,6.16e-05,5.16983e-05,8.45231,0,CPU,true,mpirun,ccl
oneCCL,64,128,10,4.428e-06,4.594e-06,4.5238e-06,1.21759,6.8586e-05,8.0156e-05,7.43652e-05,4.35029,7.3014e-05,8.475e-05,7.8889e-05,4.51747,0,CPU,true,mpirun,ccl
oneCCL,64,256,10,2.6565e-05,3.0233e-05,2.82218e-05,4.00638,0.00012713,0.000145858,0.000133613,3.74988,0.000153695,0.000176091,0.000161835,5.4875,0,CPU,true,mpirun,ccl
oneCCL,64,512,10,0.000109044,0.000116684,0.000112923,1.78275,0.000590337,0.00516488,0.00112472,119.98,0.000699381,0.00528156,0.00123764,119.993,0,CPU,true,mpirun,ccl
oneCCL,64,1024,10,0.00137084,0.0015011,0.00142464,2.56546,0.00318721,0.163673,0.0514004,142.681,0.00455805,0.165174,0.0528251,142.704,0,CPU,true,mpirun,ccl
oneCCL,64,2048,10,0.00720039,0.00744911,0.00733514,1.10785,0.0183468,0.179906,0.050688,126.882,0.0255472,0.187355,0.0580232,126.886,0,CPU,true,mpirun,ccl
oneCCL,64,4096,10,0.0383419,0.045212,0.0415053,6.00456,0.0815357,0.409833,0.263172,33.1071,0.119878,0.455044,0.304677,33.6472,0,CPU,true,mpirun,ccl
oneCCL,64,8192,10,0.188731,0.199526,0.193882,1.73137,0.519465,0.967859,0.763853,15.7187,0.708196,1.16738,0.957735,15.8138,0,CPU,true,mpirun,ccl
