Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,4.323e-06,4.444e-06,4.3809e-06,0.719769,4.214e-05,4.6723e-05,4.45806e-05,3.85869,4.6463e-05,5.1167e-05,4.89615e-05,3.92525,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,1.8961e-05,1.9693e-05,1.92556e-05,1.19657,5.8798e-05,6.7082e-05,6.22389e-05,4.13743,7.7759e-05,8.6775e-05,8.14945e-05,4.30699,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.000103457,0.000114887,0.000106441,4.00322,0.000204544,0.000230651,0.000217354,3.9467,0.000308001,0.000345538,0.000323795,5.62158,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.000761099,0.000836504,0.000790146,3.09439,0.000779535,0.000855493,0.000811725,2.93964,0.00154063,0.001692,0.00160187,4.26811,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.00578177,0.00585109,0.00581519,0.355099,0.00315593,0.00340198,0.00323654,2.33734,0.0089377,0.00925307,0.00905173,2.36416,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.0449898,0.0451267,0.0450464,0.0916042,0.0135224,0.0142638,0.0136864,1.57715,0.0585122,0.0593905,0.0587328,1.5798,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,0.362651,0.367873,0.364288,0.361164,0.0596117,0.0612673,0.0599186,0.86974,0.422263,0.42914,0.424207,0.941747,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,2.93515,2.96226,2.94016,0.286918,0.374659,0.417722,0.395868,4.09311,3.30981,3.37998,3.33603,4.10315,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,3.145e-06,3.831e-06,3.752e-06,5.39925,5.9362e-05,8.4752e-05,6.96961e-05,13.3425,6.2507e-05,8.8583e-05,7.34481e-05,14.3935,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,1.0733e-05,1.5484e-05,1.40143e-05,10.9977,0.000118756,0.000130863,0.000125834,3.26819,0.000129489,0.000146347,0.000139848,11.473,0,CPU,true,mpirun,ccl
