Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,4.35e-06,4.456e-06,4.4043e-06,0.765471,3.7607e-05,4.2759e-05,3.99345e-05,3.80465,4.1957e-05,4.7215e-05,4.43388e-05,3.88089,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,1.7195e-05,2.1024e-05,1.8135e-05,7.5598,5.164e-05,6.7451e-05,6.04386e-05,8.1982,6.8835e-05,8.8475e-05,7.85736e-05,11.1517,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.000103525,0.000108295,0.000106435,1.2901,0.00018431,0.000203061,0.000194981,3.2041,0.000287835,0.000311356,0.000301416,3.45407,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.000738908,0.000835783,0.000769348,5.58524,0.000702445,0.000759876,0.000726409,2.35628,0.00144135,0.00159566,0.00149576,6.06193,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.00581212,0.00587497,0.0058416,0.329927,0.00283721,0.00294667,0.00288191,1.0605,0.00864934,0.00882164,0.00872351,1.11063,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.0443298,0.0454943,0.0445209,0.74279,0.0116486,0.0122929,0.012115,1.46229,0.0559785,0.0577872,0.0566358,1.64013,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,0.355634,0.389929,0.360404,2.76354,0.0489556,0.0625488,0.0511683,7.53215,0.404589,0.452478,0.411573,8.02312,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,2.97798,3.02536,2.99438,0.513774,0.232027,0.287168,0.265637,6.69769,3.21001,3.31253,3.26001,6.71737,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,2.964e-06,3.686e-06,3.5854e-06,5.82435,3.9936e-05,5.1686e-05,4.5738e-05,8.37556,4.29e-05,5.5372e-05,4.93234e-05,10.2016,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,1.2701e-05,1.4989e-05,1.44589e-05,5.77807,6.9065e-05,7.681e-05,7.28261e-05,3.30625,8.1766e-05,9.1799e-05,8.7285e-05,6.65713,0,CPU,true,mpirun,ccl
oneCCL,4,256,10,5.9955e-05,6.6415e-05,6.17612e-05,3.81608,0.000194925,0.000233623,0.000202751,5.25365,0.00025488,0.000300038,0.000264512,6.49332,0,CPU,true,mpirun,ccl
oneCCL,4,512,10,0.000379369,0.000432824,0.000393644,4.71795,0.000732064,0.000796765,0.000765572,2.21645,0.00111143,0.00122959,0.00115922,5.21265,0,CPU,true,mpirun,ccl
oneCCL,4,1024,10,0.00297359,0.00301186,0.0029918,0.376456,0.0028704,0.00304789,0.00295849,1.88865,0.005844,0.00605975,0.00595029,1.9258,0,CPU,true,mpirun,ccl
oneCCL,4,2048,10,0.0229748,0.0233913,0.0232316,0.50102,0.0116747,0.0120051,0.0118613,0.939764,0.0346496,0.0353963,0.0350929,1.06498,0,CPU,true,mpirun,ccl
oneCCL,4,4096,10,0.185021,0.188492,0.185956,0.573358,0.0551969,0.0579224,0.0569686,1.47902,0.240218,0.246414,0.242925,1.58627,0,CPU,true,mpirun,ccl
oneCCL,4,8192,10,1.47876,1.5138,1.48998,0.782817,0.252333,0.299999,0.285184,4.68181,1.73109,1.8138,1.77516,4.74681,0,CPU,true,mpirun,ccl
oneCCL,8,64,10,2.763e-06,3.568e-06,3.3946e-06,8.97671,5.7407e-05,0.00018166,0.000103172,50.1117,6.017e-05,0.000185228,0.000106567,50.9094,0,CPU,true,mpirun,ccl
oneCCL,8,128,10,7.675e-06,1.0485e-05,9.589e-06,12.1547,8.1869e-05,0.000305025,0.00016329,38.5311,8.9544e-05,0.00031551,0.000172879,40.4027,0,CPU,true,mpirun,ccl
