Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,4.232e-06,4.327e-06,4.2745e-06,0.614992,2.7122e-05,3.5249e-05,2.97008e-05,8.13191,3.1354e-05,3.9576e-05,3.39753e-05,8.15514,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,1.6949e-05,2.1204e-05,1.99354e-05,5.24552,5.7513e-05,9.2898e-05,6.77154e-05,13.5452,7.4462e-05,0.000114102,8.76508e-05,14.5254,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.000101447,0.000108647,0.00010298,2.06246,0.000175133,0.000199834,0.000189918,4.33084,0.00027658,0.000308481,0.000292898,4.79687,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.000757517,0.000839807,0.000799154,3.16918,0.000746005,0.000800666,0.000771942,2.14027,0.00150352,0.00164047,0.0015711,3.8242,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.00579046,0.00586492,0.00581867,0.339482,0.0031203,0.00320995,0.00314554,0.874035,0.00891076,0.00907487,0.00896421,0.937649,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.0447228,0.054661,0.0460786,6.28983,0.0127966,0.0133956,0.0129886,1.35807,0.0575194,0.0680566,0.0590672,6.43478,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,0.358089,0.360588,0.359265,0.250738,0.056226,0.0586238,0.0577554,1.47276,0.414315,0.419212,0.41702,1.49395,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,2.93459,2.96995,2.95088,0.471862,0.310781,0.355337,0.331465,5.05325,3.24537,3.32528,3.28235,5.07524,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,3.096e-06,3.773e-06,3.6802e-06,5.301,4.2551e-05,5.6621e-05,4.74154e-05,8.34165,4.5647e-05,6.0394e-05,5.10956e-05,9.88351,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,9.702e-06,1.4307e-05,1.32717e-05,11.3852,5.8195e-05,7.3689e-05,6.33546e-05,7.0226,6.7897e-05,8.7996e-05,7.66263e-05,13.3768,0,CPU,true,mpirun,ccl
oneCCL,4,256,10,5.9454e-05,6.5306e-05,6.22819e-05,2.19165,0.000154778,0.000160382,0.000157153,1.1539,0.000214232,0.000225688,0.000219435,2.47686,0,CPU,true,mpirun,ccl
oneCCL,4,512,10,0.000382493,0.000419826,0.000392524,3.294,0.000598681,0.000709621,0.000636497,4.52819,0.000981174,0.00112945,0.00102902,5.59955,0,CPU,true,mpirun,ccl
oneCCL,4,1024,10,0.00292567,0.0030736,0.00298636,1.23554,0.00244012,0.00395557,0.00261318,17.1308,0.00536578,0.00702917,0.00559954,17.1753,0,CPU,true,mpirun,ccl
oneCCL,4,2048,10,0.0234608,0.0235737,0.0235299,0.128625,0.0104865,0.0118249,0.0108687,3.27823,0.0339473,0.0353986,0.0343986,3.28075,0,CPU,true,mpirun,ccl
oneCCL,4,4096,10,0.18973,0.191821,0.190387,0.297187,0.0467658,0.0556285,0.0482208,5.14391,0.236495,0.24745,0.238608,5.15249,0,CPU,true,mpirun,ccl
oneCCL,4,8192,10,1.4813,1.52175,1.48949,0.807709,0.207858,0.25419,0.237841,5.49436,1.68916,1.77594,1.72733,5.55341,0,CPU,true,mpirun,ccl
oneCCL,8,64,10,2.404e-06,3.141e-06,3.0429e-06,7.01286,4.703e-05,5.7592e-05,5.08229e-05,6.27703,4.9434e-05,6.0733e-05,5.38658e-05,9.41176,0,CPU,true,mpirun,ccl
oneCCL,8,128,10,8.711e-06,1.1611e-05,1.05001e-05,8.80422,6.5893e-05,7.0621e-05,6.88023e-05,2.13274,7.4604e-05,8.2232e-05,7.93024e-05,9.05886,0,CPU,true,mpirun,ccl
oneCCL,8,256,10,3.872e-05,4.9268e-05,4.338e-05,9.13046,0.000118202,0.000145772,0.000129234,5.03284,0.000156922,0.00019504,0.000172614,10.4257,0,CPU,true,mpirun,ccl
oneCCL,8,512,10,0.000212531,0.000240938,0.000221335,4.13054,0.000512215,0.000843479,0.000610563,15.7817,0.000724746,0.00108442,0.000831898,16.3133,0,CPU,true,mpirun,ccl
oneCCL,8,1024,10,0.00161485,0.00166188,0.00163651,1.06935,0.0023514,0.0029827,0.00248991,7.22624,0.00396625,0.00464457,0.00412642,7.30493,0,CPU,true,mpirun,ccl
oneCCL,8,2048,10,0.0129456,0.0132193,0.0130534,0.633533,0.01014,0.0104712,0.0102895,0.854347,0.0230856,0.0236905,0.0233429,1.06361,0,CPU,true,mpirun,ccl
oneCCL,8,4096,10,0.100365,0.10168,0.100737,0.4751,0.0447946,0.0522526,0.0461352,4.86894,0.14516,0.153933,0.146872,4.89206,0,CPU,true,mpirun,ccl
oneCCL,8,8192,10,0.773426,0.797712,0.77947,1.12636,0.176171,0.198685,0.179859,3.57143,0.949598,0.996397,0.959329,3.74484,0,CPU,true,mpirun,ccl
oneCCL,16,64,10,1.74e-06,2.44e-06,2.3324e-06,8.49245,5.1063e-05,6.2452e-05,5.68391e-05,7.01681,5.2803e-05,6.4892e-05,5.91715e-05,11.0162,0,CPU,true,mpirun,ccl
oneCCL,16,128,10,6.735e-06,9.912e-06,9.1547e-06,9.12138,7.3086e-05,8.7456e-05,7.72147e-05,5.66161,7.9821e-05,9.7368e-05,8.63694e-05,10.7356,0,CPU,true,mpirun,ccl
oneCCL,16,256,10,2.9191e-05,3.5759e-05,3.20179e-05,5.56115,0.000128658,0.000148514,0.000135952,4.14769,0.000157849,0.000184273,0.00016797,6.93756,0,CPU,true,mpirun,ccl
oneCCL,16,512,10,0.000122533,0.00015742,0.000136043,7.13526,0.000500196,0.000826707,0.000604916,14.6681,0.000622729,0.000984127,0.000740958,16.3115,0,CPU,true,mpirun,ccl
oneCCL,16,1024,10,0.000962379,0.00113738,0.00102535,5.09945,0.00232908,0.00258094,0.00245206,3.85309,0.00329146,0.00371832,0.00347741,6.39146,0,CPU,true,mpirun,ccl
oneCCL,16,2048,10,0.00837222,0.0108055,0.00868911,8.19681,0.0114842,0.0125135,0.0118186,3.20939,0.0198564,0.023319,0.0205078,8.80272,0,CPU,true,mpirun,ccl
oneCCL,16,4096,10,0.0513909,0.0538669,0.0523733,1.37106,0.0475911,0.205025,0.0640442,73.381,0.098982,0.258892,0.116418,73.3939,0,CPU,true,mpirun,ccl
oneCCL,16,8192,10,0.421522,0.432474,0.426501,0.699866,0.185459,0.206508,0.190806,2.8744,0.606981,0.638982,0.617307,2.95838,0,CPU,true,mpirun,ccl
oneCCL,32,64,10,1.536e-06,2.328e-06,2.0861e-06,12.6531,6.1127e-05,0.00604248,0.00067002,267.281,6.2663e-05,0.00604481,0.000672106,267.581,0,CPU,true,mpirun,ccl
oneCCL,32,128,10,5.292e-06,5.44e-06,5.3465e-06,0.87302,9.117e-05,0.000105282,9.67564e-05,3.66405,9.6462e-05,0.000110722,0.000102103,3.76662,0,CPU,true,mpirun,ccl
oneCCL,32,256,10,2.7142e-05,3.6549e-05,3.23907e-05,8.62692,0.000151839,0.000166073,0.000159093,2.92089,0.000178981,0.000202622,0.000191484,9.10799,0,CPU,true,mpirun,ccl
oneCCL,32,512,10,0.000104413,0.000121632,0.00010982,6.0096,0.000547468,0.000815184,0.000669643,14.2859,0.000651881,0.000936816,0.000779464,15.4985,0,CPU,true,mpirun,ccl
oneCCL,32,1024,10,0.000951618,0.00115202,0.00102888,7.05366,0.00297829,0.00331837,0.00309879,3.07052,0.00392991,0.00447039,0.00412766,7.693,0,CPU,true,mpirun,ccl
oneCCL,32,2048,10,0.00656376,0.00698443,0.00679224,2.12781,0.0163553,0.0173844,0.0166812,1.74814,0.0229191,0.0243688,0.0234735,2.75383,0,CPU,true,mpirun,ccl
oneCCL,32,4096,10,0.0375846,0.0396039,0.0382268,1.79003,0.0622611,0.223195,0.141694,55.2249,0.0998457,0.262799,0.179921,55.2539,0,CPU,true,mpirun,ccl
oneCCL,32,8192,10,0.236189,0.29064,0.246759,6.02121,0.247883,0.404115,0.280907,21.8631,0.484072,0.694755,0.527667,22.6771,0,CPU,true,mpirun,ccl
oneCCL,64,64,10,1.771e-06,1.885e-06,1.8194e-06,1.74869,6.5054e-05,9.2171e-05,7.27507e-05,10.684,6.6825e-05,9.4056e-05,7.45701e-05,10.8262,0,CPU,true,mpirun,ccl
oneCCL,64,128,10,6.23e-06,9.34e-06,8.1079e-06,15.128,8.8226e-05,0.000100304,9.45761e-05,3.67621,9.4456e-05,0.000109644,0.000102684,15.5683,0,CPU,true,mpirun,ccl
oneCCL,64,256,10,2.0385e-05,2.1725e-05,2.08316e-05,1.93919,0.000163237,0.000179904,0.000171785,2.54175,0.000183622,0.000201629,0.000192617,3.19702,0,CPU,true,mpirun,ccl
oneCCL,64,512,10,0.000112869,0.000121941,0.00011616,2.45846,0.000687242,0.00129565,0.000834404,20.3346,0.000800111,0.00141759,0.000950563,20.4827,0,CPU,true,mpirun,ccl
oneCCL,64,1024,10,0.00121427,0.00159775,0.00149152,6.89308,0.00487165,0.165287,0.0211438,227.253,0.00608592,0.166885,0.0226353,227.357,0,CPU,true,mpirun,ccl
oneCCL,64,2048,10,0.00729838,0.00784787,0.00753756,2.35272,0.0248125,0.185699,0.0732296,100.015,0.0321109,0.193547,0.0807672,100.042,0,CPU,true,mpirun,ccl
oneCCL,64,4096,10,0.0380636,0.0481016,0.0410755,7.22278,0.259821,0.578479,0.31098,32.1412,0.297884,0.626581,0.352055,32.9428,0,CPU,true,mpirun,ccl
oneCCL,64,8192,10,0.195485,0.206091,0.200532,1.49244,0.570005,1.04573,0.815114,15.4541,0.76549,1.25182,1.01565,15.526,0,CPU,true,mpirun,ccl
