Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,4.229e-06,4.275e-06,4.2522e-06,0.362623,2.1011e-05,2.6125e-05,2.28021e-05,6.83184,2.524e-05,3.04e-05,2.70543e-05,6.84145,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,1.7652e-05,2.1471e-05,1.96685e-05,9.11678,6.2908e-05,7.2011e-05,6.72546e-05,3.25204,8.056e-05,9.3482e-05,8.69231e-05,9.67944,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.000106104,0.000120979,0.000110172,4.90864,0.000191631,0.000216171,0.000203367,4.02218,0.000297735,0.00033715,0.000313539,6.34608,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.000739921,0.000802631,0.000767308,2.94344,0.000816639,0.000869832,0.000842816,2.41151,0.00155656,0.00167246,0.00161012,3.80516,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.00578847,0.00586778,0.00582896,0.379032,0.00320619,0.00330537,0.00324901,1.25643,0.00899466,0.00917315,0.00907797,1.31235,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.0446616,0.0449435,0.044782,0.149658,0.0135402,0.0138387,0.0137205,0.625996,0.0582018,0.0587822,0.0585025,0.643637,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,0.363,0.365178,0.363585,0.156432,0.0603139,0.0621444,0.0608222,0.979324,0.423314,0.427323,0.424407,0.991739,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,2.9268,2.93087,2.92755,0.0399011,0.369986,0.377214,0.374634,0.634202,3.29679,3.30808,3.30218,0.635456,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,3.178e-06,3.841e-06,3.7528e-06,5.13016,3.4094e-05,4.097e-05,3.681e-05,5.85576,3.7272e-05,4.4811e-05,4.05628e-05,7.78514,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,1.0083e-05,1.4697e-05,1.37478e-05,13.3023,7.0697e-05,8.4138e-05,7.66522e-05,5.10779,8.078e-05,9.8835e-05,9.04e-05,14.2492,0,CPU,true,mpirun,ccl
