Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,4.356e-06,4.484e-06,4.406e-06,0.90079,3.4434e-05,4.0803e-05,3.7978e-05,4.77393,3.879e-05,4.5287e-05,4.2384e-05,4.85817,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,1.7356e-05,2.1047e-05,1.81547e-05,7.67026,4.8893e-05,5.9343e-05,5.17378e-05,5.63849,6.6249e-05,8.039e-05,6.98925e-05,9.51974,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,9.9067e-05,0.000110991,0.000101693,3.47831,0.000168163,0.000328837,0.000201319,21.726,0.00026723,0.000439828,0.000303012,22.0026,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.000760497,0.000857184,0.000793541,4.51055,0.000672831,0.000730067,0.000699081,2.73684,0.00143333,0.00158725,0.00149262,5.27592,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.00582221,0.00586821,0.00583977,0.238988,0.00284631,0.00308812,0.00297131,2.43951,0.00866852,0.00895633,0.00881108,2.45119,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.0445795,0.0470699,0.0449787,1.60909,0.0128081,0.0205257,0.0140668,15.6623,0.0573876,0.0675957,0.0590456,15.7447,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,0.356234,0.381069,0.359562,2.03766,0.0600996,0.0725875,0.0694554,4.95554,0.416334,0.453657,0.429017,5.35812,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,2.92988,2.97896,2.9456,0.648383,0.373387,0.428383,0.403671,4.84704,3.30327,3.40734,3.34927,4.89021,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,3.044e-06,3.746e-06,3.6158e-06,5.41428,5.9988e-05,6.5383e-05,6.24675e-05,2.44847,6.3032e-05,6.9129e-05,6.60833e-05,5.94218,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,1.0256e-05,1.4992e-05,1.40591e-05,10.5878,8.2038e-05,9.335e-05,8.76361e-05,3.93842,9.2294e-05,0.000108342,0.000101695,11.2966,0,CPU,true,mpirun,ccl
oneCCL,4,256,10,6.3484e-05,6.8029e-05,6.5541e-05,1.95477,0.000220872,0.000243064,0.000235433,3.0584,0.000284356,0.000311093,0.000300974,3.62973,0,CPU,true,mpirun,ccl
oneCCL,4,512,10,0.000384974,0.000423063,0.000398991,3.97519,0.000800593,0.000844208,0.000816004,1.4192,0.00118557,0.00126727,0.00121499,4.22093,0,CPU,true,mpirun,ccl
oneCCL,4,1024,10,0.00290749,0.00295017,0.00292926,0.445045,0.00261678,0.00267814,0.0026526,0.61884,0.00552428,0.00562831,0.00558186,0.762252,0,CPU,true,mpirun,ccl
oneCCL,4,2048,10,0.0230783,0.0250799,0.0233814,2.51516,0.0130642,0.0135383,0.0132434,0.984706,0.0361425,0.0386182,0.0366248,2.70105,0,CPU,true,mpirun,ccl
oneCCL,4,4096,10,0.189342,0.191689,0.190257,0.42957,0.0600613,0.0753041,0.063683,6.62112,0.249404,0.266993,0.25394,6.63504,0,CPU,true,mpirun,ccl
oneCCL,4,8192,10,1.51758,1.56424,1.53372,0.9387,0.24175,0.291181,0.267176,5.54413,1.75933,1.85542,1.8009,5.62304,0,CPU,true,mpirun,ccl
oneCCL,8,64,10,2.324e-06,3.026e-06,2.8752e-06,9.56394,0.000110055,0.000120833,0.000113683,2.781,0.000112379,0.000123859,0.000116558,9.96007,0,CPU,true,mpirun,ccl
oneCCL,8,128,10,8.918e-06,1.1661e-05,1.13057e-05,7.05038,0.000131928,0.000221662,0.000151706,19.6869,0.000140846,0.000233323,0.000163012,20.9113,0,CPU,true,mpirun,ccl
oneCCL,8,256,10,3.9844e-05,5.618e-05,4.52555e-05,10.3213,0.000233126,0.000348526,0.000266313,13.9383,0.00027297,0.000404706,0.000311568,17.3437,0,CPU,true,mpirun,ccl
oneCCL,8,512,10,0.00021267,0.000236607,0.000222927,4.27404,0.000889115,0.00095172,0.000919689,2.50705,0.00110179,0.00118833,0.00114262,4.95507,0,CPU,true,mpirun,ccl
oneCCL,8,1024,10,0.00160221,0.0016605,0.00162684,1.13424,0.00353424,0.00360777,0.00357532,0.637767,0.00513645,0.00526827,0.00520216,1.30125,0,CPU,true,mpirun,ccl
oneCCL,8,2048,10,0.0122511,0.0146728,0.0126176,5.73679,0.014621,0.0155845,0.0151077,1.87413,0.0268721,0.0302572,0.0277253,6.03516,0,CPU,true,mpirun,ccl
oneCCL,8,4096,10,0.0998598,0.101247,0.100399,0.355559,0.072341,0.0734598,0.0728307,0.42463,0.172201,0.174707,0.17323,0.553835,0,CPU,true,mpirun,ccl
oneCCL,8,8192,10,0.751637,0.794342,0.763883,1.9319,0.28041,0.321687,0.303228,4.16521,1.03205,1.11603,1.06711,4.59143,0,CPU,true,mpirun,ccl
oneCCL,16,64,10,1.765e-06,2.492e-06,2.3264e-06,11.9712,0.000183728,0.000270443,0.00019515,12.9347,0.000185493,0.000272935,0.000197476,17.6244,0,CPU,true,mpirun,ccl
oneCCL,16,128,10,7.198e-06,9.94e-06,8.3017e-06,13.9273,0.000232547,0.000240816,0.000236503,1.25227,0.000239745,0.000250756,0.000244804,13.9834,0,CPU,true,mpirun,ccl
oneCCL,16,256,10,2.7963e-05,3.7964e-05,3.31267e-05,9.36674,0.000349756,0.000449227,0.000372882,7.3857,0.000377719,0.000487191,0.000406008,11.9283,0,CPU,true,mpirun,ccl
oneCCL,16,512,10,0.000117969,0.000139393,0.000126278,5.52707,0.00103001,0.00109186,0.00105992,2.00327,0.00114797,0.00123125,0.0011862,5.87891,0,CPU,true,mpirun,ccl
oneCCL,16,1024,10,0.000954436,0.00104968,0.000998434,2.36104,0.00354543,0.0037114,0.00362154,1.20709,0.00449987,0.00476107,0.00461998,2.65172,0,CPU,true,mpirun,ccl
oneCCL,16,2048,10,0.0078001,0.00843208,0.0080185,2.12784,0.0164987,0.018047,0.0174636,2.16163,0.0242988,0.0264791,0.025482,3.03321,0,CPU,true,mpirun,ccl
oneCCL,16,4096,10,0.0521813,0.055447,0.053157,1.91861,0.0797523,0.082899,0.0808354,1.09644,0.131934,0.138346,0.133992,2.2098,0,CPU,true,mpirun,ccl
oneCCL,16,8192,10,0.409752,0.421349,0.413408,0.849,0.327551,0.343864,0.334959,1.29976,0.737303,0.765213,0.748367,1.55247,0,CPU,true,mpirun,ccl
oneCCL,32,64,10,1.647e-06,3.061e-06,2.2898e-06,17.102,0.00015162,0.000172945,0.000159787,4.51489,0.000153267,0.000176006,0.000162076,17.6879,0,CPU,true,mpirun,ccl
oneCCL,32,128,10,7.314e-06,1.1224e-05,8.8476e-06,18.6338,0.000439726,0.000856246,0.000509272,24.8819,0.00044704,0.00086747,0.000518119,31.0858,0,CPU,true,mpirun,ccl
oneCCL,32,256,10,2.8638e-05,3.5479e-05,3.23559e-05,7.05653,0.000551307,0.000668246,0.000598115,8.33999,0.000579945,0.000703725,0.000630471,10.9247,0,CPU,true,mpirun,ccl
oneCCL,32,512,10,9.2865e-05,0.000158756,0.000125934,19.0516,0.00107098,0.00110528,0.00109181,0.829514,0.00116385,0.00126404,0.00121774,19.0697,0,CPU,true,mpirun,ccl
oneCCL,32,1024,10,0.000693902,0.000865262,0.000747334,6.69164,0.00413725,0.00433914,0.00424568,1.42322,0.00483115,0.00520441,0.00499302,6.84132,0,CPU,true,mpirun,ccl
oneCCL,32,2048,10,0.00634185,0.00651501,0.00642092,0.96182,0.0187938,0.0196769,0.0191126,1.22794,0.0251356,0.0261919,0.0255335,1.55978,0,CPU,true,mpirun,ccl
oneCCL,32,4096,10,0.0355788,0.0364151,0.0359676,0.657935,0.0781574,0.0832416,0.0800944,1.85448,0.113736,0.119657,0.116062,1.96773,0,CPU,true,mpirun,ccl
oneCCL,32,8192,10,0.22267,0.234979,0.227663,1.65343,0.323585,0.339211,0.33036,1.41412,0.546255,0.57419,0.558022,2.17568,0,CPU,true,mpirun,ccl
oneCCL,64,64,10,1.931e-06,3.617e-06,2.8592e-06,14.4274,0.000231882,0.000330797,0.000290353,11.0245,0.000233813,0.000334414,0.000293212,18.1574,0,CPU,true,mpirun,ccl
oneCCL,64,128,10,4.438e-06,4.737e-06,4.6146e-06,1.82021,0.000758098,0.000834615,0.000782248,3.29438,0.000762536,0.000839352,0.000786863,3.76379,0,CPU,true,mpirun,ccl
