Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,1.7754e-05,2.4562e-05,1.88963e-05,10.0382,4.0922e-05,4.6367e-05,4.28633e-05,3.88047,5.8676e-05,7.0929e-05,6.17596e-05,10.7621,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,0.000102194,0.000105323,0.000103926,1.29261,4.971e-05,6.5179e-05,5.71188e-05,7.97241,0.000151904,0.000170502,0.000161044,8.07652,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.000828334,0.000838209,0.000831372,0.35505,0.000173424,0.000461113,0.000211743,39.3971,0.00100176,0.00129932,0.00104311,39.3987,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.00646922,0.00810543,0.00701649,8.31457,0.000738732,0.00276513,0.00129163,55.8445,0.00720795,0.0108706,0.00830812,56.4601,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.0647028,0.0657046,0.0650295,0.422798,0.00301334,0.00322177,0.00316875,2.33219,0.0677161,0.0689264,0.0681982,2.3702,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.572708,0.579888,0.574524,0.354563,0.0124462,0.0135347,0.0129595,2.46579,0.585154,0.593422,0.587483,2.49115,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,4.3018,4.3736,4.34073,0.517687,0.0590873,0.157165,0.11216,30.0282,4.36089,4.53076,4.45289,30.0326,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,71.5509,71.7555,71.674,0.0965535,0.202337,0.210155,0.206522,1.40422,71.7532,71.9656,71.8805,1.40753,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,8.709e-06,9.087e-06,8.903e-06,1.20179,3.8948e-05,4.7805e-05,4.33045e-05,7.43183,4.7657e-05,5.6892e-05,5.22075e-05,7.52837,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,4.98e-05,5.4825e-05,5.24936e-05,2.40743,5.654e-05,6.7988e-05,6.15366e-05,4.53005,0.00010634,0.000122813,0.00011403,5.13001,0,CPU,true,mpirun,ccl
oneCCL,4,256,10,0.000426415,0.000437486,0.000429179,0.765088,0.000136786,0.000143956,0.000139399,1.47784,0.000563201,0.000581442,0.000568579,1.66415,0,CPU,true,mpirun,ccl
oneCCL,4,512,10,0.0032549,0.00358557,0.00333205,2.87231,0.00049489,0.00172573,0.000781017,59.724,0.00374979,0.0053113,0.00411307,59.793,0,CPU,true,mpirun,ccl
