Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,1.5486e-05,1.6386e-05,1.60946e-05,1.4181,3.0617e-05,3.4389e-05,3.29087e-05,3.10413,4.6103e-05,5.0775e-05,4.90033e-05,3.41272,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,9.7344e-05,0.000101695,9.94711e-05,1.21183,4.9505e-05,6.2141e-05,5.50186e-05,7.06819,0.000146849,0.000163836,0.00015449,7.17132,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.000828372,0.000957991,0.000876452,5.70546,0.000173661,0.000198092,0.000187931,4.0269,0.00100203,0.00115608,0.00106438,6.98342,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.0065344,0.00857857,0.0073862,10.4711,0.000739176,0.00165475,0.00085437,31.5178,0.00727357,0.0102333,0.00824057,33.2117,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.0632816,0.0641686,0.0637412,0.433978,0.00313145,0.0102437,0.00405352,51.9566,0.066413,0.0744123,0.0677947,51.9584,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.601917,0.619418,0.60603,0.78461,0.0132549,0.0141252,0.0135034,1.83297,0.615172,0.633543,0.619534,1.99383,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,4.26155,4.31391,4.28552,0.386475,0.474709,0.549498,0.515569,4.04624,4.73626,4.86341,4.80109,4.06465,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,71.4057,73.1176,72.1126,1.06664,0.254689,0.268732,0.260893,1.56234,71.6604,73.3863,72.3735,1.89172,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,8.192e-06,9.077e-06,8.8862e-06,2.70355,3.1986e-05,3.6302e-05,3.42358e-05,4.21716,4.0178e-05,4.5379e-05,4.3122e-05,5.00935,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,5.0733e-05,5.2641e-05,5.21162e-05,1.38328,4.6167e-05,5.2408e-05,4.92473e-05,4.92411,9.69e-05,0.000105049,0.000101363,5.11472,0,CPU,true,mpirun,ccl
oneCCL,4,256,10,0.000452185,0.000568632,0.00048473,6.13137,0.00013518,0.000161273,0.000143058,5.36507,0.000587365,0.000729905,0.000627788,8.14725,0,CPU,true,mpirun,ccl
oneCCL,4,512,10,0.0032272,0.00437537,0.00337611,9.91191,0.000473036,0.00136456,0.000633017,39.2619,0.00370023,0.00573994,0.00400913,40.4937,0,CPU,true,mpirun,ccl
oneCCL,4,1024,10,0.0275234,0.0305515,0.0281506,3.99704,0.00210731,0.00278765,0.00220562,8.86808,0.0296307,0.0333392,0.0303562,9.72724,0,CPU,true,mpirun,ccl
oneCCL,4,2048,10,0.274044,0.281782,0.277339,0.845075,0.0185798,0.027558,0.0218641,11.9006,0.292624,0.30934,0.299203,11.9306,0,CPU,true,mpirun,ccl
oneCCL,4,4096,10,2.19619,2.23842,2.2143,0.574863,0.227998,0.276893,0.250827,6.15483,2.42418,2.51531,2.46513,6.18162,0,CPU,true,mpirun,ccl
oneCCL,4,8192,10,33.9741,34.0832,34.0298,0.0937668,0.168681,0.176832,0.173918,1.31373,34.1428,34.2601,34.2037,1.31707,0,CPU,true,mpirun,ccl
oneCCL,8,64,10,5.356e-06,5.504e-06,5.4063e-06,0.795672,3.246e-05,4.1065e-05,3.72091e-05,7.35318,3.7816e-05,4.6569e-05,4.26154e-05,7.3961,0,CPU,true,mpirun,ccl
oneCCL,8,128,10,2.7084e-05,3.0615e-05,2.97804e-05,3.21118,5.0449e-05,5.6569e-05,5.32319e-05,4.07496,7.7533e-05,8.7184e-05,8.30123e-05,5.18815,0,CPU,true,mpirun,ccl
oneCCL,8,256,10,0.000201454,0.000208028,0.000203736,1.11069,0.000103481,0.000163338,0.000114856,14.3879,0.000304935,0.000371366,0.000318592,14.4307,0,CPU,true,mpirun,ccl
oneCCL,8,512,10,0.00164622,0.00202519,0.00169732,6.50543,0.000479785,0.000619912,0.000558423,8.8559,0.002126,0.0026451,0.00225574,10.9885,0,CPU,true,mpirun,ccl
oneCCL,8,1024,10,0.0137305,0.0141644,0.0138206,0.885803,0.00205306,0.00250413,0.00223908,6.05083,0.0157836,0.0166685,0.0160597,6.11533,0,CPU,true,mpirun,ccl
oneCCL,8,2048,10,0.127764,0.129922,0.128327,0.465513,0.00773621,0.00810081,0.00791677,1.42841,0.1355,0.138023,0.136243,1.50235,0,CPU,true,mpirun,ccl
oneCCL,8,4096,10,1.20098,1.22709,1.21098,0.74937,0.0381043,0.0550802,0.0453053,14.1767,1.23908,1.28217,1.25629,14.1965,0,CPU,true,mpirun,ccl
oneCCL,8,8192,10,14.7897,16.9053,16.2554,5.11643,0.143657,1.85776,0.577075,116.06,14.9334,18.763,16.8324,116.173,0,CPU,true,mpirun,ccl
oneCCL,16,64,10,4.173e-06,4.273e-06,4.2138e-06,0.654475,3.5683e-05,4.5921e-05,4.11444e-05,6.84054,3.9856e-05,5.0194e-05,4.53582e-05,6.87178,0,CPU,true,mpirun,ccl
