Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,1.9947e-05,2.1415e-05,2.05715e-05,2.43989,2.7937e-05,3.1986e-05,3.00434e-05,4.35148,4.7884e-05,5.3401e-05,5.06149e-05,4.98883,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,9.9291e-05,0.000103937,9.99404e-05,1.33691,6.6187e-05,7.6832e-05,7.07701e-05,4.12374,0.000165478,0.000180769,0.000170711,4.33504,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.000829067,0.000836543,0.000831672,0.252044,0.000196819,0.000207907,0.000202238,1.96138,0.00102589,0.00104445,0.00103391,1.97751,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.00647356,0.00865544,0.00701745,11.239,0.000778254,0.00168768,0.000882783,30.404,0.00725182,0.0103431,0.00790023,32.4148,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.0613419,0.0746846,0.0630408,6.22813,0.00344088,0.00406444,0.00379847,5.13442,0.0647828,0.078749,0.0668392,8.07167,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.575764,0.588307,0.578051,0.614661,0.0141734,0.0155301,0.0145865,2.53202,0.589938,0.603837,0.592638,2.60556,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,4.42394,4.51864,4.45714,0.6036,0.112068,0.187757,0.159299,16.4851,4.536,4.7064,4.61644,16.4961,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,72.3549,72.7815,72.4741,0.152982,0.233579,42.3955,5.29459,238.337,72.5885,115.177,77.7687,238.337,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,1.0567e-05,1.1805e-05,1.12125e-05,2.96137,7.1809e-05,7.9816e-05,7.47246e-05,3.6717,8.2376e-05,9.1621e-05,8.59371e-05,4.71711,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,5.1524e-05,5.4347e-05,5.34114e-05,2.22009,0.000116318,0.000135546,0.000124317,4.38221,0.000167842,0.000189893,0.000177729,4.91249,0,CPU,true,mpirun,ccl
oneCCL,4,256,10,0.000425509,0.000502466,0.00043957,5.00545,0.000364547,0.000433203,0.000383218,4.98175,0.000790056,0.000935669,0.000822788,7.06204,0,CPU,true,mpirun,ccl
oneCCL,4,512,10,0.00326625,0.0033136,0.00329618,0.382646,0.00151972,0.00252343,0.0018897,16.3462,0.00478597,0.00583703,0.00518587,16.3507,0,CPU,true,mpirun,ccl
oneCCL,4,1024,10,0.0266861,0.0267316,0.0267006,0.0546678,0.00669675,0.0073475,0.00717805,3.02147,0.0333828,0.0340791,0.0338786,3.02197,0,CPU,true,mpirun,ccl
oneCCL,4,2048,10,0.301672,0.306939,0.302845,0.471888,0.014753,0.016586,0.0159337,2.72301,0.316425,0.323525,0.318779,2.7636,0,CPU,true,mpirun,ccl
oneCCL,4,4096,10,2.39396,2.41655,2.40317,0.306744,0.0534733,0.0571184,0.0562096,1.95229,2.44743,2.47367,2.45938,1.97624,0,CPU,true,mpirun,ccl
oneCCL,4,8192,10,28.5479,29.4715,29.0165,1.19283,6.18276,7.18891,6.69748,5.54119,34.7306,36.6604,35.714,5.66813,0,CPU,true,mpirun,ccl
oneCCL,8,64,10,4.663e-06,5.486e-06,5.2702e-06,5.69638,7.1277e-05,8.3235e-05,7.79032e-05,4.43458,7.594e-05,8.8721e-05,8.31734e-05,7.21902,0,CPU,true,mpirun,ccl
oneCCL,8,128,10,3.0075e-05,3.2817e-05,3.22219e-05,3.32466,0.000121213,0.00022754,0.000140336,21.124,0.000151288,0.000260357,0.000172558,21.384,0,CPU,true,mpirun,ccl
oneCCL,8,256,10,0.000184421,0.000198447,0.000188183,2.59572,0.000374666,0.000463812,0.000402612,6.43941,0.000559087,0.000662259,0.000590795,6.94289,0,CPU,true,mpirun,ccl
oneCCL,8,512,10,0.00164517,0.00200483,0.00170812,6.7532,0.00143767,0.00196997,0.0017233,7.89756,0.00308284,0.00397479,0.00343142,10.3912,0,CPU,true,mpirun,ccl
oneCCL,8,1024,10,0.0138128,0.0143781,0.0138815,1.19616,0.00697212,0.0076087,0.00733801,2.67953,0.0207849,0.0219868,0.0212196,2.93439,0,CPU,true,mpirun,ccl
oneCCL,8,2048,10,0.121514,0.126023,0.123938,1.05285,0.0280956,0.0313518,0.0298793,4.2121,0.149609,0.157374,0.153817,4.34169,0,CPU,true,mpirun,ccl
oneCCL,8,4096,10,1.11272,1.13757,1.12617,0.592628,0.191709,0.21785,0.201647,3.3226,1.30443,1.35542,1.32782,3.37504,0,CPU,true,mpirun,ccl
oneCCL,8,8192,10,16.4958,17.2613,17.0915,1.20171,0.198601,0.364264,0.23684,19.5233,16.6944,17.6256,17.3284,19.5602,0,CPU,true,mpirun,ccl
oneCCL,16,64,10,2.948e-06,4.202e-06,3.5727e-06,9.49923,8.1009e-05,0.000181205,0.000123586,35.6486,8.3957e-05,0.000185407,0.000127159,36.8925,0,CPU,true,mpirun,ccl
oneCCL,16,128,10,1.7159e-05,2.0829e-05,1.93932e-05,4.36732,0.000148286,0.000255816,0.000183703,23.8011,0.000165445,0.000276645,0.000203097,24.1984,0,CPU,true,mpirun,ccl
oneCCL,16,256,10,9.8796e-05,0.00011105,0.000102315,3.38713,0.000416492,0.00053187,0.00043718,7.57652,0.000515288,0.00064292,0.000539495,8.29917,0,CPU,true,mpirun,ccl
oneCCL,16,512,10,0.000841071,0.00114785,0.0009759,10.973,0.00176513,0.00215955,0.00207343,5.17635,0.0026062,0.0033074,0.00304933,12.1326,0,CPU,true,mpirun,ccl
oneCCL,16,1024,10,0.00701965,0.00776634,0.00720255,3.10482,0.00851156,0.00908168,0.00887573,2.1658,0.0155312,0.016848,0.0160783,3.78558,0,CPU,true,mpirun,ccl
oneCCL,16,2048,10,0.0552045,0.0583262,0.0562298,1.55126,0.0356261,0.0409143,0.0379548,3.6702,0.0908306,0.0992406,0.0941846,3.98457,0,CPU,true,mpirun,ccl
oneCCL,16,4096,10,0.560553,0.581213,0.566927,0.941517,0.180579,0.204222,0.189715,3.82076,0.741132,0.785436,0.756642,3.93506,0,CPU,true,mpirun,ccl
oneCCL,16,8192,10,4.92972,4.99817,4.96545,0.349776,4.28493,4.35497,4.3174,0.396803,9.21465,9.35314,9.28285,0.528957,0,CPU,true,mpirun,ccl
oneCCL,32,64,10,2.123e-06,3.01e-06,2.8106e-06,8.39077,9.2154e-05,0.00023901,0.000176468,31.1273,9.4277e-05,0.00024202,0.000179278,32.2384,0,CPU,true,mpirun,ccl
oneCCL,32,128,10,1.2085e-05,1.4833e-05,1.39569e-05,8.70233,0.000184815,0.000307781,0.000248103,19.9752,0.0001969,0.000322614,0.00026206,21.7886,0,CPU,true,mpirun,ccl
oneCCL,32,256,10,6.3505e-05,6.874e-05,6.55313e-05,3.08478,0.00049854,0.000602482,0.000558995,5.40059,0.000562045,0.000671222,0.000624526,6.21951,0,CPU,true,mpirun,ccl
oneCCL,32,512,10,0.000472822,0.00050919,0.000490582,2.45906,0.00241564,0.00257157,0.00247447,1.79186,0.00288846,0.00308076,0.00296505,3.04265,0,CPU,true,mpirun,ccl
oneCCL,32,1024,10,0.00434076,0.00492831,0.00459902,4.15279,0.0105159,0.0110269,0.0106522,1.40337,0.0148567,0.0159552,0.0152512,4.38351,0,CPU,true,mpirun,ccl
oneCCL,32,2048,10,0.0293377,0.0373243,0.0307757,7.21689,0.0437915,0.0498735,0.047153,3.11818,0.0731292,0.0871977,0.0779287,7.86171,0,CPU,true,mpirun,ccl
oneCCL,32,4096,10,0.251755,0.268014,0.258148,2.11668,0.184241,0.195532,0.18908,1.9956,0.435996,0.463546,0.447228,2.90909,0,CPU,true,mpirun,ccl
oneCCL,32,8192,10,3.94877,4.21824,4.14497,1.77757,0.673897,0.928531,0.750143,8.99113,4.62267,5.14678,4.89511,9.16516,0,CPU,true,mpirun,ccl
oneCCL,64,64,10,1.881e-06,8.503e-06,3.1866e-06,56.1695,0.000222725,0.000325531,0.000264725,11.5768,0.000224606,0.000334034,0.000267912,57.3501,0,CPU,true,mpirun,ccl
oneCCL,64,128,10,8.168e-06,1.0985e-05,1.00251e-05,11.7272,0.000210626,0.000449224,0.000328898,24.9113,0.000218794,0.000460209,0.000338923,27.5336,0,CPU,true,mpirun,ccl
oneCCL,64,256,10,4.8788e-05,6.5042e-05,5.19407e-05,8.73344,0.000617488,0.000799263,0.000692209,8.38856,0.000666276,0.000864305,0.00074415,12.1095,0,CPU,true,mpirun,ccl
oneCCL,64,512,10,0.000286445,0.000296491,0.000291392,1.34706,0.00307284,0.00321097,0.00312498,1.44892,0.00335929,0.00350746,0.00341637,1.97837,0,CPU,true,mpirun,ccl
oneCCL,64,1024,10,0.00280201,0.00290567,0.00283584,1.02068,0.0142301,0.01452,0.0144109,0.618567,0.0170321,0.0174256,0.0172468,1.19349,0,CPU,true,mpirun,ccl
oneCCL,64,2048,10,0.0205237,0.0221222,0.0209863,2.00759,0.0631164,0.0640454,0.0634594,0.403991,0.0836401,0.0861676,0.0844456,2.04783,0,CPU,true,mpirun,ccl
oneCCL,64,4096,10,0.144623,0.15063,0.1474,1.19274,0.26074,0.267125,0.264255,0.761654,0.405362,0.417755,0.411655,1.41519,0,CPU,true,mpirun,ccl
oneCCL,64,8192,10,2.51064,2.57423,2.54941,0.793309,1.43504,1.49235,1.45899,1.3574,3.94568,4.06657,4.0084,1.57222,0,CPU,true,mpirun,ccl
