Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,1.5446e-05,1.6307e-05,1.60702e-05,1.36502,3.8165e-05,4.2964e-05,4.00135e-05,3.59606,5.3611e-05,5.9271e-05,5.60837e-05,3.84642,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,9.5568e-05,0.000100168,9.78242e-05,1.29161,5.8414e-05,7.059e-05,6.25953e-05,4.91279,0.000153982,0.000170758,0.00016042,5.07974,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.000847122,0.00121517,0.000925654,10.8408,0.00018689,0.000202979,0.000194479,2.34094,0.00103401,0.00141815,0.00112013,11.0907,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.0064654,0.00823294,0.00677076,8.79908,0.000705061,0.00294669,0.00125916,67.0912,0.00717046,0.0111796,0.00802992,67.6658,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.0619706,0.0660512,0.0627937,1.78218,0.00284304,0.00292638,0.00286272,0.817625,0.0648136,0.0689776,0.0656564,1.96078,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.537682,0.557851,0.546331,1.17516,0.028544,0.0483031,0.0392623,16.9346,0.566226,0.606154,0.585594,16.9753,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,4.29096,4.3216,4.30379,0.241541,0.257606,0.312515,0.296329,6.07975,4.54857,4.63411,4.60012,6.08455,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,72.1984,72.3252,72.2541,0.0494925,0.194359,0.203922,0.200495,1.26596,72.3928,72.5291,72.4546,1.26693,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,8.225e-06,8.971e-06,8.7818e-06,2.91661,4.0079e-05,5.1956e-05,4.52976e-05,6.78125,4.8304e-05,6.0927e-05,5.40794e-05,7.38187,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,5.1189e-05,7.0862e-05,5.54602e-05,9.49824,6.4952e-05,7.7382e-05,7.22957e-05,4.95883,0.000116141,0.000148244,0.000127756,10.7148,0,CPU,true,mpirun,ccl
oneCCL,4,256,10,0.000426715,0.000445082,0.00043091,1.40402,0.000196514,0.000205279,0.000200446,1.45273,0.000623229,0.000650361,0.000631356,2.02032,0,CPU,true,mpirun,ccl
oneCCL,4,512,10,0.00322806,0.00326669,0.0032467,0.526745,0.000674392,0.00172507,0.000877148,37.0149,0.00390245,0.00499175,0.00412385,37.0186,0,CPU,true,mpirun,ccl
oneCCL,4,1024,10,0.0272735,0.0371009,0.0293267,9.59769,0.00272277,0.00327044,0.00302937,5.76561,0.0299962,0.0403714,0.032356,11.1963,0,CPU,true,mpirun,ccl
oneCCL,4,2048,10,0.299313,0.302213,0.30001,0.279533,0.0123772,0.0129107,0.0125806,1.3801,0.31169,0.315124,0.31259,1.40813,0,CPU,true,mpirun,ccl
