Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,1.9354e-05,2.291e-05,2.10865e-05,4.66977,2.6675e-05,3.4328e-05,2.98607e-05,9.01803,4.6029e-05,5.7238e-05,5.09472e-05,10.1554,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,9.9463e-05,0.000111495,0.000100858,3.51751,4.7009e-05,5.7158e-05,5.14286e-05,5.56204,0.000146472,0.000168653,0.000152287,6.58097,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.00082784,0.000835947,0.000831364,0.311539,0.000156039,0.000196855,0.000186337,6.19393,0.000983879,0.0010328,0.0010177,6.20176,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.00646445,0.00866183,0.00699274,10.7719,0.000725575,0.000781997,0.000750001,2.00055,0.00719003,0.00944383,0.00774274,10.956,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.0616173,0.0622747,0.0619637,0.337797,0.00451791,0.0057326,0.0050066,6.23842,0.0661352,0.0680073,0.0669703,6.24756,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.542474,0.563936,0.550303,1.1236,0.013201,0.0145096,0.0136864,3.12431,0.555675,0.578445,0.563989,3.32021,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,4.35257,4.40412,4.37765,0.513518,0.0566508,0.139298,0.0856922,33.489,4.40922,4.54342,4.46334,33.493,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,72.2331,72.5494,72.3611,0.11847,0.209315,0.220183,0.215323,1.53978,72.4424,72.7696,72.5764,1.54433,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,8.238e-06,8.999e-06,8.8181e-06,3.06895,4.2656e-05,6.3029e-05,5.34646e-05,11.4578,5.0894e-05,7.2028e-05,6.22827e-05,11.8617,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,5.186e-05,6.4493e-05,5.49654e-05,6.03113,5.9596e-05,6.6092e-05,6.24952e-05,3.33093,0.000111456,0.000130585,0.000117461,6.88982,0,CPU,true,mpirun,ccl
oneCCL,4,256,10,0.000425386,0.000431838,0.000427928,0.430625,0.000141622,0.000263588,0.000160844,21.4313,0.000567008,0.000695426,0.000588772,21.4357,0,CPU,true,mpirun,ccl
oneCCL,4,512,10,0.00326566,0.00448748,0.00340605,10.596,0.000531274,0.00136249,0.000850186,34.4203,0.00379694,0.00584997,0.00425623,36.0143,0,CPU,true,mpirun,ccl
oneCCL,4,1024,10,0.0272787,0.028206,0.027415,0.970518,0.00451729,0.00624935,0.00523846,8.46609,0.031796,0.0344553,0.0326535,8.52154,0,CPU,true,mpirun,ccl
oneCCL,4,2048,10,0.304327,0.307316,0.305191,0.260927,0.010659,0.0115751,0.0110383,2.43142,0.314986,0.318891,0.31623,2.44538,0,CPU,true,mpirun,ccl
oneCCL,4,4096,10,2.39301,2.45587,2.407,0.733182,0.0468909,0.0705524,0.0561895,16.5997,2.4399,2.52642,2.46319,16.6159,0,CPU,true,mpirun,ccl
oneCCL,4,8192,10,26.2538,34.2901,30.8799,11.0207,0.175022,8.08747,3.25007,99.3386,26.4289,42.3776,34.13,99.948,0,CPU,true,mpirun,ccl
oneCCL,8,64,10,5.186e-06,5.337e-06,5.2733e-06,0.757592,4.674e-05,5.3449e-05,4.99811e-05,4.97453,5.1926e-05,5.8786e-05,5.52544e-05,5.03189,0,CPU,true,mpirun,ccl
oneCCL,8,128,10,2.6907e-05,2.9747e-05,2.94033e-05,2.83289,6.7391e-05,8.146e-05,7.15805e-05,6.79008,9.4298e-05,0.000111207,0.000100984,7.35734,0,CPU,true,mpirun,ccl
oneCCL,8,256,10,0.000188458,0.000194939,0.000189954,1.07546,0.000119157,0.000222239,0.000139813,20.0967,0.000307615,0.000417178,0.000329766,20.1254,0,CPU,true,mpirun,ccl
oneCCL,8,512,10,0.001645,0.00225203,0.00181198,11.1849,0.000479613,0.00095344,0.000583586,22.2839,0.00212462,0.00320547,0.00239557,24.9334,0,CPU,true,mpirun,ccl
oneCCL,8,1024,10,0.0137461,0.0161215,0.0141954,5.31639,0.00244472,0.00324831,0.0026657,8.45951,0.0161908,0.0193699,0.0168611,9.99136,0,CPU,true,mpirun,ccl
oneCCL,8,2048,10,0.130303,0.139254,0.132326,1.90985,0.010227,0.0138206,0.0108719,9.97067,0.14053,0.153075,0.143198,10.1519,0,CPU,true,mpirun,ccl
oneCCL,8,4096,10,1.22203,1.23451,1.22552,0.328364,0.0422326,0.0442637,0.0430694,1.47712,1.26426,1.27877,1.26859,1.51318,0,CPU,true,mpirun,ccl
oneCCL,8,8192,10,16.6328,16.8858,16.7867,0.454826,0.162327,0.163948,0.16306,0.30313,16.7951,17.0497,16.9498,0.546584,0,CPU,true,mpirun,ccl
oneCCL,16,64,10,2.821e-06,3.498e-06,3.3963e-06,5.70075,4.94e-05,7.9442e-05,6.25796e-05,16.2976,5.2221e-05,8.294e-05,6.59759e-05,17.2659,0,CPU,true,mpirun,ccl
oneCCL,16,128,10,1.6934e-05,2.1228e-05,1.92712e-05,6.37734,6.9276e-05,8.4542e-05,7.4943e-05,6.27671,8.621e-05,0.00010577,9.42142e-05,8.94805,0,CPU,true,mpirun,ccl
oneCCL,16,256,10,0.000133361,0.000140151,0.000136536,1.69131,0.000141765,0.000196879,0.000155081,9.6248,0.000275126,0.00033703,0.000291617,9.77227,0,CPU,true,mpirun,ccl
oneCCL,16,512,10,0.000830777,0.0010964,0.000923261,8.33022,0.000476992,0.000835573,0.000622561,17.491,0.00130777,0.00193197,0.00154582,19.3734,0,CPU,true,mpirun,ccl
oneCCL,16,1024,10,0.00684411,0.00762148,0.00710176,3.93132,0.00264826,0.00316825,0.0029288,5.36107,0.00949238,0.0107897,0.0100306,6.64804,0,CPU,true,mpirun,ccl
oneCCL,16,2048,10,0.0547047,0.0573341,0.0553983,1.38573,0.0132249,0.0147501,0.0141562,3.14171,0.0679296,0.0720842,0.0695545,3.43374,0,CPU,true,mpirun,ccl
oneCCL,16,4096,10,0.613976,0.630757,0.618102,0.742472,0.0419122,0.201661,0.0747366,84.0042,0.655889,0.832419,0.692839,84.0075,0,CPU,true,mpirun,ccl
oneCCL,16,8192,10,5.01512,8.1132,7.07375,18.8191,0.164482,3.2042,1.09071,121.35,5.1796,11.3174,8.16446,122.8,0,CPU,true,mpirun,ccl
