Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,2.2243e-05,2.4286e-05,2.3008e-05,3.42358,2.3428e-05,3.5114e-05,2.68938e-05,11.7234,4.5671e-05,5.94e-05,4.99018e-05,12.213,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,9.5704e-05,9.8315e-05,9.7961e-05,0.770023,6.0626e-05,7.2206e-05,6.58827e-05,4.65604,0.00015633,0.000170521,0.000163844,4.71928,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.000826536,0.000855841,0.000835823,0.991667,0.000175334,0.000219688,0.000201756,5.31335,0.00100187,0.00107553,0.00103758,5.4051,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.00646893,0.00806776,0.00664192,7.15696,0.000803933,0.00327644,0.00123666,58.9984,0.00727286,0.0113442,0.00787858,59.431,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.0625863,0.063003,0.062759,0.165248,0.00664136,0.00732284,0.00704649,2.38425,0.0692277,0.0703258,0.0698055,2.38997,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.549269,0.561082,0.55448,0.571061,0.0277906,0.0387316,0.0342475,9.89659,0.57706,0.599814,0.588728,9.91305,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,4.32641,4.37541,4.34459,0.349367,0.234196,0.295674,0.266404,7.58771,4.56061,4.67108,4.611,7.59575,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,71.3321,71.4844,71.4158,0.0698876,0.231756,0.242907,0.23791,1.66782,71.5638,71.7273,71.6537,1.66929,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,8.226e-06,1.1777e-05,9.1932e-06,9.70254,3.2872e-05,4.104e-05,3.72196e-05,5.29381,4.1098e-05,5.2817e-05,4.64128e-05,11.0528,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,4.9865e-05,5.2616e-05,5.14955e-05,2.49562,6.897e-05,7.9088e-05,7.37234e-05,3.74423,0.000118835,0.000131704,0.000125219,4.49971,0,CPU,true,mpirun,ccl
oneCCL,4,256,10,0.000421856,0.000436538,0.000425926,1.11989,0.00022731,0.000241833,0.000234162,1.59212,0.000649166,0.000678371,0.000660089,1.94653,0,CPU,true,mpirun,ccl
oneCCL,4,512,10,0.00330401,0.0043948,0.0036708,10.369,0.000916648,0.00203776,0.00116477,34.0011,0.00422066,0.00643256,0.00483557,35.547,0,CPU,true,mpirun,ccl
oneCCL,4,1024,10,0.0266273,0.0267052,0.0266846,0.0888434,0.00595241,0.00637321,0.0061941,2.02274,0.0325797,0.0330784,0.0328787,2.02469,0,CPU,true,mpirun,ccl
oneCCL,4,2048,10,0.273231,0.278457,0.276551,0.683067,0.0377193,0.0466597,0.0408426,6.38738,0.310951,0.325116,0.317394,6.4238,0,CPU,true,mpirun,ccl
oneCCL,4,4096,10,2.18163,2.22515,2.20006,0.654361,0.232837,0.315639,0.29192,10.0465,2.41446,2.54079,2.49198,10.0677,0,CPU,true,mpirun,ccl
oneCCL,4,8192,10,33.4722,33.5344,33.5052,0.0541658,1.2993,1.42693,1.34459,2.9133,34.7715,34.9614,34.8498,2.9138,0,CPU,true,mpirun,ccl
oneCCL,8,64,10,5.184e-06,5.34e-06,5.2807e-06,0.794088,3.9811e-05,5.0629e-05,4.33703e-05,7.4532,4.4995e-05,5.5969e-05,4.8651e-05,7.49538,0,CPU,true,mpirun,ccl
oneCCL,8,128,10,2.71e-05,3.2834e-05,2.92088e-05,5.46006,7.824e-05,0.000106019,9.17129e-05,8.93352,0.00010534,0.000138853,0.000120922,10.47,0,CPU,true,mpirun,ccl
oneCCL,8,256,10,0.000183524,0.000220546,0.000190318,5.54994,0.000282661,0.000324175,0.000297392,4.2856,0.000466185,0.000544721,0.00048771,7.01201,0,CPU,true,mpirun,ccl
oneCCL,8,512,10,0.00164442,0.0021645,0.0017808,10.7266,0.00118595,0.00204992,0.00141994,20.5114,0.00283037,0.00421442,0.00320074,23.1468,0,CPU,true,mpirun,ccl
oneCCL,8,1024,10,0.0138691,0.0140533,0.0139103,0.369477,0.0047017,0.00607297,0.0049842,7.55792,0.0185708,0.0201262,0.0188945,7.56695,0,CPU,true,mpirun,ccl
oneCCL,8,2048,10,0.118738,0.131074,0.120575,2.96896,0.0269138,0.0328264,0.0315484,5.08899,0.145652,0.163901,0.152123,5.89173,0,CPU,true,mpirun,ccl
oneCCL,8,4096,10,1.21567,1.23815,1.22179,0.515278,0.0998074,0.10452,0.10198,1.47234,1.31547,1.34267,1.32377,1.5599,0,CPU,true,mpirun,ccl
oneCCL,8,8192,10,11.2568,11.3934,11.3403,0.353801,5.37892,5.46463,5.41001,0.473597,16.6357,16.8581,16.7503,0.591159,0,CPU,true,mpirun,ccl
oneCCL,16,64,10,3.037e-06,4.221e-06,3.7481e-06,9.73468,4.9098e-05,5.9813e-05,5.3322e-05,5.69075,5.2135e-05,6.4034e-05,5.70701e-05,11.276,0,CPU,true,mpirun,ccl
oneCCL,16,128,10,1.7007e-05,1.9652e-05,1.90577e-05,5.3101,0.000104779,0.000124511,0.000113035,4.98264,0.000121786,0.000144163,0.000132093,7.28175,0,CPU,true,mpirun,ccl
oneCCL,16,256,10,9.6966e-05,0.000108057,9.9453e-05,3.11281,0.000335217,0.000438211,0.000362416,7.60142,0.000432183,0.000546268,0.000461869,8.21408,0,CPU,true,mpirun,ccl
oneCCL,16,512,10,0.000828904,0.000926458,0.000886519,3.84133,0.0016381,0.00191882,0.00175852,4.58165,0.00246701,0.00284527,0.00264504,5.97891,0,CPU,true,mpirun,ccl
oneCCL,16,1024,10,0.00727425,0.0079924,0.00746936,3.62433,0.00678505,0.0138119,0.00768424,26.6711,0.0140593,0.0218043,0.0151536,26.9162,0,CPU,true,mpirun,ccl
oneCCL,16,2048,10,0.0544315,0.057397,0.0550551,1.51709,0.0359087,0.0381827,0.0371393,1.59422,0.0903402,0.0955797,0.0921944,2.20071,0,CPU,true,mpirun,ccl
oneCCL,16,4096,10,0.60006,0.613518,0.607027,0.753152,0.137347,0.153872,0.143634,3.06799,0.737408,0.76739,0.750661,3.15908,0,CPU,true,mpirun,ccl
oneCCL,16,8192,10,8.35172,8.49043,8.42162,0.481228,0.502983,0.536035,0.519256,2.36606,8.8547,9.02647,8.94087,2.41451,0,CPU,true,mpirun,ccl
oneCCL,32,64,10,2.54e-06,2.76e-06,2.685e-06,2.49301,6.433e-05,7.7423e-05,7.17526e-05,5.54408,6.687e-05,8.0183e-05,7.44376e-05,6.07881,0,CPU,true,mpirun,ccl
oneCCL,32,128,10,1.1412e-05,1.5015e-05,1.36548e-05,8.24391,0.000165775,0.000188976,0.000179999,3.80248,0.000177187,0.000203991,0.000193654,9.0786,0,CPU,true,mpirun,ccl
oneCCL,32,256,10,6.2046e-05,7.3412e-05,6.64026e-05,5.03512,0.000581195,0.000616951,0.000597425,1.81499,0.000643241,0.000690363,0.000663827,5.35226,0,CPU,true,mpirun,ccl
oneCCL,32,512,10,0.000454994,0.000520164,0.000498788,4.70375,0.00271795,0.00292379,0.00278355,2.0721,0.00317294,0.00344395,0.00328234,5.13993,0,CPU,true,mpirun,ccl
oneCCL,32,1024,10,0.00395388,0.00468022,0.00421526,4.77426,0.0122431,0.175276,0.0611276,118.07,0.016197,0.179957,0.0653428,118.166,0,CPU,true,mpirun,ccl
oneCCL,32,2048,10,0.030241,0.0347108,0.032244,4.0394,0.0643851,0.213968,0.122427,55.3203,0.0946261,0.248679,0.154671,55.4676,0,CPU,true,mpirun,ccl
oneCCL,32,4096,10,0.262989,0.276786,0.270181,1.3171,0.259297,0.269339,0.265294,1.22525,0.522286,0.546126,0.535475,1.79888,0,CPU,true,mpirun,ccl
oneCCL,32,8192,10,4.42415,4.52088,4.47457,0.649196,0.802219,1.17994,0.892365,11.1751,5.22637,5.70082,5.36694,11.1939,0,CPU,true,mpirun,ccl
oneCCL,64,64,10,1.686e-06,2.085e-06,1.7413e-06,6.61584,9.7937e-05,0.000133552,0.000108672,9.41278,9.9623e-05,0.000135637,0.000110413,11.5052,0,CPU,true,mpirun,ccl
