Implementation,CPU_Count,Matrix_Size,Iterations,Matmul_t_min(s),Matmul_t_max(s),Matmul_t_avg(s),Matmul_stddev(%),Allreduce_t_min(s),Allreduce_t_max(s),Allreduce_t_avg(s),Allreduce_stddev(%),Total_t_min(s),Total_t_max(s),Total_t_avg(s),Total_stddev(%),GPU_Count,Accelerator,CCL,Launcher,Backend
oneCCL,2,64,10,2.1002e-05,2.2587e-05,2.13905e-05,2.00875,2.5294e-05,3.4078e-05,2.82485e-05,9.68285,4.6296e-05,5.6665e-05,4.9639e-05,9.88901,0,CPU,true,mpirun,ccl
oneCCL,2,128,10,9.9297e-05,0.000112688,0.000100877,3.90483,4.8316e-05,6.4222e-05,5.7483e-05,8.16575,0.000147613,0.00017691,0.00015836,9.05136,0,CPU,true,mpirun,ccl
oneCCL,2,256,10,0.0008297,0.000907309,0.000839465,2.70162,0.000189971,0.000273171,0.000213616,14.2582,0.00101967,0.00118048,0.00105308,14.5119,0,CPU,true,mpirun,ccl
oneCCL,2,512,10,0.00647583,0.00851611,0.00695426,10.8059,0.000667969,0.0027139,0.000891932,68.1027,0.0071438,0.01123,0.00784619,68.9546,0,CPU,true,mpirun,ccl
oneCCL,2,1024,10,0.062786,0.0630173,0.0629659,0.109017,0.00284667,0.00291367,0.00287798,0.959393,0.0656326,0.065931,0.0658439,0.965567,0,CPU,true,mpirun,ccl
oneCCL,2,2048,10,0.575709,0.579006,0.576817,0.175284,0.0130599,0.015316,0.013729,4.4251,0.588769,0.594322,0.590546,4.42857,0,CPU,true,mpirun,ccl
oneCCL,2,4096,10,4.32383,4.35835,4.34453,0.248469,0.0679475,0.125399,0.0847445,24.7906,4.39178,4.48375,4.42928,24.7919,0,CPU,true,mpirun,ccl
oneCCL,2,8192,10,75.1209,75.4138,75.2777,0.10487,0.190806,0.20023,0.196701,1.94504,75.3117,75.614,75.4744,1.94787,0,CPU,true,mpirun,ccl
oneCCL,4,64,10,8.312e-06,9.045e-06,8.8664e-06,2.14807,6.1306e-05,7.2093e-05,6.37751e-05,4.73303,6.9618e-05,8.1138e-05,7.26415e-05,5.19767,0,CPU,true,mpirun,ccl
oneCCL,4,128,10,4.9878e-05,5.2631e-05,5.17694e-05,2.04721,8.1606e-05,8.846e-05,8.45604e-05,2.91278,0.000131484,0.000141091,0.00013633,3.56025,0,CPU,true,mpirun,ccl
oneCCL,4,256,10,0.000422976,0.000447115,0.000428898,1.59879,0.000201313,0.000221846,0.000213721,3.17869,0.000624289,0.000668961,0.000642619,3.55812,0,CPU,true,mpirun,ccl
oneCCL,4,512,10,0.00323142,0.00434375,0.00347583,11.7693,0.000602312,0.000978269,0.000695605,14.2905,0.00383373,0.00532202,0.00417143,18.5131,0,CPU,true,mpirun,ccl
oneCCL,4,1024,10,0.0265499,0.0401315,0.0289012,15.9419,0.00253175,0.00845302,0.00576369,30.2217,0.0290817,0.0485845,0.0346649,34.1687,0,CPU,true,mpirun,ccl
oneCCL,4,2048,10,0.272945,0.286241,0.276994,1.23964,0.0121825,0.0286059,0.0227331,19.0898,0.285128,0.314847,0.299727,19.13,0,CPU,true,mpirun,ccl
